Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,611/534,320/259,154/151,85/73,23/32,29/19
2024,6/5,2/2,-,4/2,-,0/1
2023,26/35,13/20,6/8,6/5,-,1/2
2022,25/34,9/11,10/12,3/7,0/4,3/0
2021,28/31,4/11,11/9,10/5,2/5,1/1
2020,8/15,2/5,4/7,1/3,-,1/0
2019,29/33,10/12,9/11,3/3,6/4,1/3
2018,33/29,9/7,14/12,4/6,2/3,4/1
2017,29/33,12/14,8/10,6/4,0/3,3/2
2016,27/34,11/10,8/13,4/7,2/3,2/1
2015,39/33,15/10,5/11,13/7,2/4,4/1
2014,26/38,7/13,7/12,5/8,6/3,1/2
2013,47/28,18/13,14/9,11/4,2/1,2/1
2012,54/33,47/24,3/4,1/3,1/1,2/1
2011,47/32,35/16,8/9,3/5,0/1,1/1
2010,57/30,26/18,24/8,6/3,-,1/1
2009,45/26,29/20,9/5,5/1,-,2/0
2008,43/32,39/26,4/5,-,-,0/1
2007,34/21,25/16,9/5,-,-,-
2006,6/6,5/5,1/1,-,-,-
2005,2/5,2/5,-,-,-,-
2004,0/1,0/1,-,-,-,-
