Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
10.07.2024,Kuhar M.,2,,,,,,"['2', '1', '6', '5']","['3', '2', '5', '2']",[],[],[],1.23
10.07.2024,Hanzlik C.,0,,,,,,"['2', '2']",[],[],[],[],3.86
03.07.2024,Bullard J.,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],1.69
03.07.2024,Hanzlik C.,0,,,,,,"['2', '0']",[],[],[],[],2.08
26.06.2024,Vithoontien L.,2,,,,,,"['1', '1', '3', '1', '5', '1']","['4', '3']",[],[],[],1.62
26.06.2024,Hanzlik C.,0,,,,,,"['1', '0']",[],[],[],[],2.20
29.05.2024,Shepp A.,2,,,,,,"['6', '5']","['5', '4']",[],[],[],2.22
29.05.2024,Hanzlik C.,0,,,,,,[],[],[],[],[],1.61
20.03.2024,Holmgren A.,2,,,,,,"['4', '3']","['3', '1', '7', '5']",[],[],[],1.07
20.03.2024,Hanzlik C.,0,,,,,,"['4', '4']","['4', '5']",[],[],[],7.17
15.03.2024,Wu Tung-Lin,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '5', '1']",[],[],[],1.13
15.03.2024,Hanzlik C.,0,,,,,,[],[],[],[],[],5.46
14.03.2024,Hanzlik C.,2,,,,,,[],"['4', '2']","['2', '3']",[],[],1.57
14.03.2024,Strode I.,1,,,,,,"['4', '3']",[],"['2', '0']",[],[],2.30
13.03.2024,Hanzlik C.,2,,,,,,[],"['5', '3']","['1', '0']",[],[],4.22
13.03.2024,Broom C.,1,,,,,,"['2', '1', '5', '2']",[],[],[],[],1.20
