Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,413/319,117/101,127/98,146/105,22/15,1/0
2024,32/21,16/11,6/6,4/3,5/1,1/0
2023,30/29,12/7,11/13,4/8,3/1,-
2022,58/27,10/5,5/7,37/10,6/5,-
2021,36/28,11/10,14/8,11/9,0/1,-
2020,18/22,2/8,8/6,8/8,-,-
2019,25/29,10/8,0/6,14/13,1/2,-
2018,37/32,8/6,13/12,16/13,0/1,-
2017,43/32,11/7,16/12,13/11,3/2,-
2016,33/31,10/5,13/13,6/11,4/2,-
2015,49/27,6/10,17/8,26/9,-,-
2014,23/20,5/9,15/5,3/6,-,-
2013,16/12,10/10,3/0,3/2,-,-
2012,12/7,6/5,6/2,-,-,-
2011,1/2,-,-,1/2,-,-
