Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,216/185,109/76,71/70,26/26,7/11,3/2
2024,12/20,10/12,2/5,0/3,-,-
2023,34/24,17/13,3/2,14/9,-,-
2022,19/16,9/7,10/8,-,0/1,-
2021,13/10,7/6,6/4,-,-,-
2020,14/10,10/5,4/5,-,-,-
2019,12/25,3/8,6/12,1/2,2/3,-
2018,35/27,14/6,15/14,0/2,4/4,2/1
2017,23/24,8/8,9/8,4/5,1/3,1/0
2016,20/17,8/7,8/7,4/2,-,0/1
2015,28/10,17/3,8/5,3/2,-,-
2014,6/2,6/1,-,0/1,-,-
