Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,28/28,-,24/26,-,-,4/2
2024,9/9,-,9/9,-,-,-
2023,17/14,-,13/12,-,-,4/2
2022,2/5,-,2/5,-,-,-
