Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,177/205,103/126,64/73,6/4,-,4/2
2024,14/16,10/14,-,-,-,4/2
2023,16/19,16/17,0/2,-,-,-
2022,18/22,18/22,-,-,-,-
2021,26/19,23/15,3/4,-,-,-
2020,0/2,0/2,-,-,-,-
2019,9/11,6/8,3/3,-,-,-
2018,12/15,8/7,4/7,0/1,-,-
2017,16/13,9/9,7/4,-,-,-
2016,17/21,2/9,11/10,4/2,-,-
2015,8/20,0/8,8/12,-,-,-
2014,25/25,6/6,19/19,-,-,-
2013,15/20,4/7,9/12,2/1,-,-
2011,1/1,1/1,-,-,-,-
2009,0/1,0/1,-,-,-,-
