Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,401/319,20/26,287/229,22/21,72/43,-
2024,18/18,-,10/12,1/1,7/5,-
2023,43/26,0/1,28/18,1/2,14/5,-
2022,18/11,0/2,18/9,-,-,-
2021,0/4,-,0/3,-,0/1,-
2020,12/8,0/2,9/3,0/2,3/1,-
2019,34/30,1/3,28/21,4/3,1/3,-
2018,41/31,1/2,26/23,7/2,7/4,-
2017,17/30,-,16/23,0/3,1/4,-
2016,30/31,1/3,14/19,7/4,8/5,-
2015,39/32,3/3,23/24,-,13/5,-
2014,48/20,6/1,27/13,1/2,14/4,-
2013,32/27,1/1,29/24,0/1,2/1,-
2012,47/23,1/2,44/19,1/1,1/1,-
2011,14/14,4/3,9/9,-,1/2,-
2010,6/9,2/3,4/6,-,-,-
2009,2/4,-,2/2,-,0/2,-
2008,0/1,-,0/1,-,-,-
