Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/9,12/9,-,-,-,-
2024,7/6,7/6,-,-,-,-
2023,2/2,2/2,-,-,-,-
2022,3/1,3/1,-,-,-,-
