Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/41,13/10,7/13,-,-,9/18
2024,16/11,12/9,3/2,-,-,1/0
2023,2/3,1/1,1/2,-,-,-
2022,8/16,-,-,-,-,8/16
2021,1/4,-,1/4,-,-,-
2018,0/1,-,-,-,-,0/1
2017,0/1,-,-,-,-,0/1
2016,0/3,-,0/3,-,-,-
2014,2/2,-,2/2,-,-,-
