Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Bailly G. A.,2,,,,,,1,0,51%,65% (13/20),74% (14/19),80% (4/5),63% (22/35),69% (9/13),78% (7/9),69% (27/39),65% (31/48),67% (58/87),5,0,83% (5/6),100% (7/7),92% (12/13),"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '0', '5', '0', '6', '1']",[],[],[],1.18
27.08.,Araujo P.,0,,,,,,0,0,73%,37% (13/35),31% (4/13),22% (2/9),35% (7/20),26% (5/19),20% (1/5),35% (17/48),31% (12/39),33% (29/87),5,0,0% (0/7),17% (1/6),8% (1/13),[],"['1', '5']",[],[],[],4.51
25.08.,Bailly G. A.,2,,,,,,0,1,59%,58% (15/26),61% (11/18),50% (2/4),54% (14/26),81% (21/26),50% (7/14),59% (26/44),67% (35/52),64% (61/96),7,0,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0', '5', '1', '6', '2']",[],[],[],1.79
25.08.,Mrva M.,0,,,,,,0,3,50%,46% (12/26),19% (5/26),50% (7/14),42% (11/26),39% (7/18),50% (2/4),33% (17/52),41% (18/44),36% (35/96),3,2,13% (1/8),29% (2/7),20% (3/15),[],"['1', '4', '2', '5']",[],[],[],1.94
20.08.,Sanchez Martinez B.,2,,,,,,9,0,69%,77% (36/47),52% (11/21),60% (3/5),36% (12/33),45% (13/29),60% (3/5),29,28,33% (2/6),69% (47/68),40% (25/62),55% (72/130),7,0,82% (9/11),30% (3/10),57% (12/21),"['4', '2']","['1', '0', '3', '2']",[],[],[],2.53
20.08.,Bailly G. A.,0,,,,,,0,2,53%,64% (21/33),55% (16/29),40% (2/5),23% (11/47),48% (10/21),40% (2/5),9,22,80% (4/5),60% (37/62),31% (21/68),45% (58/130),3,1,70% (7/10),18% (2/11),43% (9/21),[],"['1', '1', '4', '4']",[],[],[],1.48
19.08.,Bailly G. A.,2,,,,,,2,1,49%,76% (35/46),62% (29/47),67% (4/6),34% (23/68),48% (11/23),30% (3/10),25,41,69% (9/13),69% (64/93),37% (34/91),53% (98/184),6,0,87% (13/15),21% (3/14),55% (16/29),"['4', '2']","['2', '1']","['4', '3', '5', '3', '6', '4']",[],[],1.71
19.08.,Prado Angelo J. C.,1,,,,,,2,1,75%,66% (45/68),52% (12/23),70% (7/10),24% (11/46),38% (18/47),33% (2/6),18,37,75% (9/12),63% (57/91),31% (29/93),47% (86/184),4,1,79% (11/14),13% (2/15),45% (13/29),[],"['4', '4', '6', '4']",[],[],[],20.5
17.08.,Marmousez L.,2,,,,,,"['2', '5']","['1', '0', '3', '0', '5', '2']","['1', '0', '6', '3']",[],[],20.5
17.08.,Bailly G. A.,1,,,,,,"['2', '0', '4', '0', '6', '2']","['1', '3']",[],[],[],1.69
16.08.,Bailly G. A.,2,,,,,,"['3', '4']","['1', '2', '4', '3', '6', '5']","['2', '1', '6', '5']",[],[],1.66
16.08.,Squire H.,1,,,,,,"['3', '1', '7', '5']","['2', '0', '5', '5']","['4', '4']",[],[],20.5
15.08.,Bailly G. A.,2,,,,,,"['5', '5', '7', '5']","['3', '3']",[],[],[],1.66
15.08.,Moeller M.,0,,,,,,"['4', '3']","['3', '2']",[],[],[],20.5
14.08.,Bailly G. A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '5', '1']",[],[],[],1.71
14.08.,Bidan F.,0,,,,,,[],"['1', '4']",[],[],[],18.0
13.08.,Bailly G. A.,2,,,,,,"['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.75
13.08.,Demanet E.,0,,,,,,"['1', '5']",[],[],[],[],20.0
31.07.,Perot R.,2,,,,,,[],"['2', '0', '4', '2']","['1', '0', '2', '1', '6', '5']",[],[],2.73
31.07.,Bailly G. A.,1,,,,,,"['2', '0', '5', '1']","['2', '3']","['1', '1', '3', '3']",[],[],1.41
29.07.,Bailly G. A.,1,,,,,,"['1', '2', '3', '2', '4', '3', '6', '3']",[],[],[],[],1.04
29.07.,Haliak M.,0,,,,,,"['2', '0', '3', '3']",[],[],[],[],8.10
25.07.,Gueymard Wayenburg S.,2,,,,,,3,4,55%,76% (26/34),64% (18/28),100% (2/2),33% (8/24),46% (13/28),100% (2/2),71% (44/62),40% (21/52),57% (65/114),6,0,100% (10/10),22% (2/9),63% (12/19),"['2', '0']","['3', '2']",[],[],[],2.63
25.07.,Bailly G. A.,0,,,,,,1,1,46%,67% (16/24),54% (15/28),0% (0/2),24% (8/34),36% (10/28),0% (0/2),60% (31/52),29% (18/62),43% (49/114),4,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.45
24.07.,Bailly G. A.,2,,,,,,4,2,57%,69% (34/49),41% (15/37),75% (6/8),43% (15/35),48% (15/31),67% (4/6),57% (49/86),45% (30/66),52% (79/152),7,0,80% (8/10),40% (4/10),60% (12/20),"['1', '0', '3', '0']","['1', '2', '5', '4']",[],[],[],1.61
24.07.,Faurel T.,0,,,,,,0,3,53%,57% (20/35),52% (16/31),33% (2/6),31% (15/49),59% (22/37),25% (2/8),55% (36/66),43% (37/86),48% (73/152),3,0,60% (6/10),20% (2/10),40% (8/20),"['2', '4']","['2', '0']",[],[],[],2.23
22.07.,Bailly G. A.,2,,,,,,2,1,54%,71% (24/34),59% (17/29),75% (3/4),26% (6/23),65% (15/23),80% (4/5),65% (41/63),46% (21/46),57% (62/109),7,0,89% (8/9),50% (4/8),71% (12/17),"['3', '1', '5', '3']","['1', '0', '5', '2']",[],[],[],1.84
