Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,435/295,214/150,85/61,120/69,15/15,1/0
2024,21/25,14/12,5/7,0/3,2/3,-
2023,50/30,16/13,12/10,16/5,5/2,1/0
2022,42/32,20/17,11/7,7/7,4/1,-
2021,32/30,18/18,4/2,10/9,0/1,-
2020,31/18,21/10,0/2,10/6,-,-
2019,12/14,4/10,8/4,-,-,-
2018,28/27,15/9,5/9,7/6,1/3,-
2017,57/28,22/12,22/8,11/5,2/3,-
2016,45/25,32/15,6/5,7/5,-,-
2015,50/21,23/12,1/1,26/7,0/1,-
2014,44/28,29/16,2/3,13/9,-,-
2013,18/11,0/4,9/3,8/3,1/1,-
2012,5/5,0/1,-,5/4,-,-
2011,0/1,0/1,-,-,-,-
