Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/31,12/31,-,-,-,-
2024,5/13,5/13,-,-,-,-
2023,3/7,3/7,-,-,-,-
2022,3/7,3/7,-,-,-,-
2021,0/1,0/1,-,-,-,-
2018,1/3,1/3,-,-,-,-
