Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,556/376,184/108,232/167,96/63,33/30,11/8
2023,1/0,-,1/0,-,-,-
2021,11/12,2/1,2/8,1/1,6/2,-
2020,7/4,4/2,3/2,-,-,-
2019,25/15,2/1,13/10,4/2,6/2,-
2018,27/22,-,18/13,9/7,0/2,-
2017,19/22,0/4,12/10,6/5,1/2,0/1
2016,29/23,2/5,17/12,8/3,1/1,1/2
2015,33/25,10/5,8/12,7/3,8/5,-
2014,30/25,7/5,21/14,1/5,0/1,1/0
2013,29/27,2/5,20/14,7/6,0/2,-
2012,23/24,1/5,7/12,14/5,1/2,-
2011,38/23,5/4,23/13,4/2,3/3,3/1
2010,38/25,14/10,16/9,3/4,5/2,-
2009,22/29,6/8,10/13,4/5,0/2,2/1
2008,47/29,9/6,20/12,15/7,1/3,2/1
2007,41/22,15/11,19/9,6/1,1/1,-
2006,40/21,30/12,6/3,2/4,-,2/2
2005,33/11,26/10,5/0,2/1,-,-
2004,26/5,16/4,9/0,1/1,-,-
2003,23/8,19/6,2/1,2/1,-,-
2002,14/4,14/4,-,-,-,-
