Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,228/196,160/137,61/57,-,-,7/2
2024,23/21,4/5,19/16,-,-,-
2023,25/29,10/15,14/12,-,-,1/2
2022,33/26,23/19,4/7,-,-,6/0
2021,16/15,7/8,9/7,-,-,-
2020,14/8,6/5,8/3,-,-,-
2019,26/26,25/20,1/6,-,-,-
2018,17/19,16/16,1/3,-,-,-
2017,31/20,29/18,2/2,-,-,-
2016,6/8,6/8,-,-,-,-
2015,19/9,16/8,3/1,-,-,-
2014,12/8,12/8,-,-,-,-
2013,6/7,6/7,-,-,-,-
