Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,51/45,31/23,13/14,-,-,7/8
2024,14/9,8/6,6/3,-,-,-
2023,25/19,15/10,5/5,-,-,5/4
2022,11/12,8/6,1/2,-,-,2/4
2021,1/3,0/1,1/2,-,-,-
2019,0/2,-,0/2,-,-,-
