Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,517/354,466/282,32/29,10/32,5/5,4/6
2024,21/16,21/16,-,-,-,-
2023,27/22,27/17,-,0/5,-,-
2022,15/18,15/16,0/1,-,0/1,-
2021,29/15,29/14,-,-,-,0/1
2019,2/2,2/2,-,-,-,-
2018,24/22,18/18,4/3,-,1/1,1/0
2017,46/26,40/18,2/4,0/1,2/1,2/2
2016,59/30,50/22,5/0,2/5,2/1,0/2
2015,35/30,27/21,6/6,1/2,0/1,1/0
2014,34/30,25/21,7/3,2/5,-,0/1
2013,49/29,49/26,0/1,0/2,-,-
2012,60/25,59/23,1/2,-,-,-
2011,43/28,38/22,5/5,0/1,-,-
2010,52/21,49/15,0/2,3/4,-,-
2009,7/23,7/19,-,0/4,-,-
2008,13/14,9/9,2/2,2/3,-,-
2007,1/3,1/3,-,-,-,-
