Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Bad Waltersdorf (Austria) - Qualification,clay,header
15.09. 20:40,Melzer G.,1,6,4,3,,,2,1,64%,63% (32/51),55% (16/29),55% (6/11),34% (23/67),58% (11/19),44% (4/9),6,60% (48/80),40% (34/86),49% (82/166),3,64% (9/14),29% (4/14),46% (13/28),"['2', '0', '5', '1']","['1', '0']","['1', '0']",[],[],2.03
15.09. 20:40,Topo M.,2,3,6,6,,,3,4,78%,66% (44/67),42% (8/19),56% (5/9),37% (19/51),45% (13/29),45% (5/11),6,60% (52/86),40% (32/80),51% (84/166),4,71% (10/14),36% (5/14),54% (15/28),"['2', '5']","['2', '2', '6', '4']","['1', '1', '3', '1']",[],[],1.73
CHALLENGER MEN - SINGLES :  Tulln (Austria) - Qualification,clay,header
01.09. 20:10,Melzer G.,0,3,4,,,,4,3,63%,57% (26/46),48% (13/27),70% (7/10),18% (6/34),44% (7/16),50% (1/2),4,53% (39/73),26% (13/50),42% (52/123),2,67% (6/9),10% (1/10),37% (7/19),[],"['2', '2']",[],[],[],0
01.09. 20:10,Rehberg M. H.,2,6,6,,,,8,3,68%,82% (28/34),56% (9/16),50% (1/2),43% (20/46),52% (14/27),30% (3/10),7,74% (37/50),47% (34/73),58% (71/123),3,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['2', '1', '5', '4']",[],[],[],0
ITF MEN - SINGLES :  M25 Oviedo (Spain),clay,header
CHALLENGER MEN - SINGLES :  Tulln (Austria) - Qualification,clay,header
ITF MEN - SINGLES :  M25 Oviedo (Spain),clay,header
26.08. 20:20,Melzer G.,0,4,5,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']","['1', '0', '4', '3']",[],[],[],1.40
26.08. 20:20,Masjuan Ginel P.,2,6,7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '1', '6', '4']","['2', '2', '5', '5', '7', '5']",[],[],[],2.79
CHALLENGER MEN - SINGLES :  Milan (Italy) - Qualification,clay,header
23.06. 16:15,Melzer G.,1,6^5,6,3,,,3,4,68%,57% (42/74),69% (24/35),60% (6/10),27% (13/48),45% (13/29),57% (4/7),7,61% (66/109),34% (26/77),49% (92/186),3,73% (11/15),29% (4/14),52% (15/29),"['2', '1']","['3', '1', '6', '2']","['1', '1']",[],[],1.67
23.06. 16:15,Giannessi A.,2,7^7,2,6,,,4,3,62%,73% (35/48),55% (16/29),43% (3/7),43% (32/74),31% (11/35),40% (4/10),7,66% (51/77),39% (43/109),51% (94/186),3,71% (10/14),27% (4/15),48% (14/29),"['3', '3']",[],"['1', '0', '2', '1', '6', '3']",[],[],2.14
CHALLENGER MEN - SINGLES :  Skopje (North Macedonia) - Qualification,clay,header
20.05. 14:10,Melzer G.,0,3,4,,,,1,3,59%,60% (26/43),43% (13/30),70% (7/10),25% (9/36),39% (9/23),25% (1/4),5,53% (39/73),31% (18/59),43% (57/132),2,67% (6/9),10% (1/10),37% (7/19),[],"['2', '0']",[],[],[],1.22
20.05. 14:10,Fomin S.,2,6,6,,,,2,3,61%,75% (27/36),61% (14/23),75% (3/4),40% (17/43),57% (17/30),30% (3/10),9,69% (41/59),47% (34/73),57% (75/132),3,90% (9/10),33% (3/9),63% (12/19),"['5', '3']","['1', '2', '5', '4']",[],[],[],4.06
19.05. 14:10,Melzer G.,2,6,6,,,,7,1,40%,95% (18/19),64% (18/28),0% (0/0),38% (12/32),47% (7/15),50% (3/6),6,77% (36/47),40% (19/47),59% (55/94),5,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['3', '2']",[],[],[],1.26
19.05. 14:10,Milojevic N.,0,1,4,,,,1,5,68%,63% (20/32),53% (8/15),50% (3/6),5% (1/19),36% (10/28),0% (0/0),4,60% (28/47),23% (11/47),41% (39/94),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.66
CHALLENGER MEN - SINGLES :  Mauthausen (Austria),clay,header
10.05. 13:40,Melzer G.,0,6^6,3,,,,2,3,48%,56% (18/32),50% (17/34),17% (1/6),26% (9/34),56% (19/34),75% (3/4),5,53% (35/66),41% (28/68),47% (63/134),3,55% (6/11),30% (3/10),43% (9/21),"['1', '4', '4', '5']","['2', '0']",[],[],[],2.68
10.05. 13:40,Kovalik J.,2,7^8,6,,,,2,3,50%,74% (25/34),44% (15/34),25% (1/4),44% (14/32),50% (17/34),83% (5/6),12,59% (40/68),47% (31/66),53% (71/134),4,70% (7/10),45% (5/11),57% (12/21),"['2', '0', '4', '0']","['1', '2', '3', '2', '6', '3']",[],[],[],1.43
09.05. 18:20,Melzer G.,2,6,6,,,,0,3,54%,71% (22/31),46% (12/26),50% (2/4),37% (11/30),50% (11/22),57% (4/7),6,60% (38/63),42% (22/52),52% (60/115),3,80% (8/10),40% (4/10),60% (12/20),"['1', '0', '3', '2']","['1', '2', '5', '4']",[],[],[],2.59
09.05. 18:20,Burruchaga R. A.,0,4,4,,,,1,6,58%,63% (19/30),50% (11/22),43% (3/7),29% (9/31),54% (14/26),50% (2/4),8,58% (30/52),40% (25/63),48% (55/115),2,60% (6/10),20% (2/10),40% (8/20),"['2', '2']","['2', '0']",[],[],[],1.47
