Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.07.,Maloney P.,2,,,,,,13,1,72%,71% (30/42),56% (9/16),75% (3/4),26% (11/42),67% (18/27),38% (3/8),30,27,71% (5/7),67% (39/58),42% (29/69),54% (68/127),7,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1', '6', '4']","['5', '3']",[],[],[],1.05
14.07.,Ogura K.,0,,,,,,12,4,61%,74% (31/42),33% (9/27),63% (5/8),29% (12/42),44% (7/16),25% (1/4),22,22,63% (5/8),58% (40/69),33% (19/58),46% (59/127),3,0,67% (6/9),10% (1/10),37% (7/19),"['3', '4']",[],[],[],[],8.40
09.07.,Magadan A.,2,,,,,,"['3', '1', '5', '3', '6', '6']","['2', '1', '5', '2']",[],[],[],1.23
09.07.,Ogura K.,0,,,,,,"['3', '4', '4', '5', '6', '5']","['3', '5']",[],[],[],3.81
02.07.,Krall L.,2,,,,,,"['1', '1']","['2', '0', '5', '1']","['1', '0', '3', '0', '4', '1']",[],[],1.61
02.07.,Ogura K.,1,,,,,,"['1', '0', '3', '2']",[],"['1', '3']",[],[],2.20
13.06.,Kusuhara Y.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '2', '6', '2']",[],[],[],1.24
13.06.,Ogura K.,0,,,,,,[],"['2', '3']",[],[],[],3.72
12.06.,Ogura K.,0,,,,,,"['1', '0', '3', '0', '5', '0']",[],[],[],[],1.23
12.06.,Takamisawa T.,0,,,,,,[],[],[],[],[],3.81
10.06.,Ogura K.,2,,,,,,"['1', '0', '3', '2', '6', '3']",[],"['1', '1', '3', '1', '4', '4', '6', '4']",[],[],2.50
10.06.,Oki Y.,1,,,,,,"['2', '2']","['2', '1', '4', '1']","['1', '0', '2', '3', '4', '3']",[],[],1.50
04.06.,Zhu E.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.26
04.06.,Ogura K.,0,,,,,,"['2', '1']",[],[],[],[],3.54
28.05.,Oh Chan-Yeong,2,,,,,,"['4', '2']","['1', '1', '3', '1', '6', '2']","['2', '0']",[],[],1.19
28.05.,Ogura K.,1,,,,,,"['3', '4', '5', '4']","['1', '0']",[],[],[],4.24
20.05.,Ferguson C.,2,,,,,,"['6', '4']","['3', '1', '5', '1']",[],[],[],1.45
20.05.,Ogura K.,0,,,,,,[],[],[],[],[],2.59
