Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,759/456,667/357,73/73,19/24,0/2,-
2024,9/2,9/2,-,-,-,-
2023,8/5,5/3,3/2,-,-,-
2022,17/11,7/9,9/1,1/1,-,-
2021,28/25,18/19,1/2,9/4,-,-
2020,60/50,60/49,0/1,-,-,-
2019,61/30,58/21,3/8,0/1,-,-
2018,57/38,55/24,2/10,0/2,0/2,-
2017,84/34,82/29,1/4,1/1,-,-
2016,64/38,61/32,2/4,1/2,-,-
2015,71/23,55/11,16/11,0/1,-,-
2014,46/32,34/24,10/6,2/2,-,-
2013,51/29,50/26,1/1,0/2,-,-
2012,37/29,32/21,4/5,1/3,-,-
2011,50/31,35/17,12/11,3/3,-,-
2010,56/29,53/27,2/1,1/1,-,-
2009,12/10,12/9,0/1,-,-,-
2008,18/21,11/16,7/5,-,-,-
2007,26/15,26/14,-,0/1,-,-
2006,4/4,4/4,-,-,-,-
