Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
04.09. 14:40,Passaro F.,2,6,6,,,,0,0,77%,66% (33/50),60% (9/15),80% (4/5),41% (13/32),86% (12/14),67% (4/6),10,65% (42/65),54% (25/46),60% (67/111),3,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '4', '2']","['1', '0', '4', '1']",[],[],[],1.27
04.09. 14:40,Bueno G.,0,3,2,,,,1,2,70%,59% (19/32),14% (2/14),33% (2/6),34% (17/50),40% (6/15),20% (1/5),5,46% (21/46),35% (23/65),40% (44/111),1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],3.58
03.09. 13:40,Passaro F.,2,6^5,7^12,6,,,7,2,73%,72% (56/78),59% (17/29),67% (4/6),33% (25/76),48% (25/52),40% (4/10),6,68% (73/107),39% (50/128),52% (123/235),3,88% (14/16),25% (4/16),56% (18/32),"['2', '1']","['4', '4']","['2', '1', '5', '2']",[],[],1.43
03.09. 13:40,Arnaboldi F.,1,7^7,6^10,2,,,3,3,59%,67% (51/76),52% (27/52),60% (6/10),28% (22/78),41% (12/29),33% (2/6),5,61% (78/128),32% (34/107),48% (112/235),3,75% (12/16),13% (2/16),44% (14/32),"['5', '5']","['1', '0']",[],[],[],2.73
CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
28.08. 22:00,Passaro F.,1,6,4,4,,,0,3,65%,57% (44/77),49% (20/41),67% (10/15),33% (23/69),56% (14/25),57% (4/7),5,54% (64/118),39% (37/94),48% (101/212),3,67% (10/15),27% (4/15),47% (14/30),"['5', '3', '6', '4']","['3', '3']","['2', '2']",[],[],1.28
28.08. 22:00,Olivieri G. A.,2,4,6,6,,,1,2,73%,67% (46/69),44% (11/25),43% (3/7),43% (33/77),51% (21/41),33% (5/15),10,61% (57/94),46% (54/118),52% (111/212),3,73% (11/15),33% (5/15),53% (16/30),"['4', '5']","['1', '0', '4', '3']","['1', '0', '4', '3']",[],[],3.50
26.08. 21:15,Passaro F.,2,6,4,6,,,2,0,64%,63% (34/54),73% (22/30),80% (8/10),33% (14/43),50% (26/52),40% (4/10),7,67% (56/84),42% (40/95),54% (96/179),3,86% (12/14),29% (4/14),57% (16/28),"['2', '0', '6', '2']",[],"['2', '2', '6', '4']",[],[],1.20
26.08. 21:15,Planinsek F. J.,1,2,6,4,,,3,2,45%,67% (29/43),50% (26/52),60% (6/10),37% (20/54),27% (8/30),20% (2/10),8,58% (55/95),33% (28/84),46% (83/179),3,71% (10/14),14% (2/14),43% (12/28),[],"['3', '2']","['2', '1']",[],[],4.26
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
21.08. 20:35,Passaro F.,0,2,0,,,,2,3,65%,46% (13/28),20% (3/15),33% (3/9),16% (4/25),50% (6/12),100% (1/1),3,37% (16/43),27% (10/37),33% (26/80),1,14% (1/7),14% (1/7),14% (2/14),"['2', '4']",[],[],[],[],2.31
21.08. 20:35,Grenier H.,2,6,6,,,,3,2,68%,84% (21/25),50% (6/12),0% (0/1),54% (15/28),80% (12/15),67% (6/9),8,73% (27/37),63% (27/43),68% (54/80),8,86% (6/7),86% (6/7),86% (12/14),"['1', '0', '4', '1', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.62
20.08. 05:20,Passaro F.,2,5,6,6,,,2,2,67%,58% (43/74),64% (23/36),57% (4/7),34% (19/56),54% (22/41),45% (5/11),26,31,65% (20/31),3,60% (66/110),42% (41/97),52% (107/207),4,80% (12/15),33% (5/15),57% (17/30),[],"['1', '1', '5', '3']","['1', '0', '4', '3', '6', '3']",[],[],2.11
20.08. 05:20,Ritschard A.,1,7,3,3,,,3,8,58%,66% (37/56),46% (19/41),55% (6/11),42% (31/74),36% (13/36),43% (3/7),32,40,69% (20/29),5,58% (56/97),40% (44/110),48% (100/207),4,67% (10/15),20% (3/15),43% (13/30),"['6', '5']","['1', '0']","['1', '1']",[],[],1.71
CHALLENGER MEN - SINGLES :  Cary (USA),hard,header
12.08. 21:05,Passaro F.,1,2,6,2,,,10,8,47%,72% (31/43),41% (20/49),62% (8/13),23% (9/39),30% (6/20),67% (2/3),8,55% (51/92),25% (15/59),44% (66/151),3,62% (8/13),17% (2/12),40% (10/25),[],"['2', '0']","['2', '3']",[],[],3.95
12.08. 21:05,Karatsev A.,2,6,3,6,,,3,0,66%,77% (30/39),70% (14/20),33% (1/3),28% (12/43),59% (29/49),38% (5/13),9,75% (44/59),45% (41/92),56% (85/151),3,83% (10/12),38% (5/13),60% (15/25),"['1', '0', '5', '2']",[],"['3', '1', '4', '2', '6', '2']",[],[],1.23
CHALLENGER MEN - SINGLES :  Trieste (Italy),clay,header
10.07. 16:50,Passaro F.,0,2,3,,,,1,5,56%,46% (17/37),52% (15/29),58% (7/12),14% (4/29),60% (6/10),25% (1/4),7,49% (33/67),26% (10/39),41% (43/106),2,44% (4/9),13% (1/8),29% (5/17),[],"['1', '1']",[],[],[],2.20
