Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,111/82,70/49,39/24,2/9,-,-
2024,17/10,6/4,11/5,0/1,-,-
2023,28/20,17/14,11/4,0/2,-,-
2022,0/1,0/1,-,-,-,-
2020,1/4,1/1,0/3,-,-,-
2019,23/8,22/7,1/1,-,-,-
2018,14/11,8/7,6/4,-,-,-
2017,19/12,13/6,6/5,0/1,-,-
2016,1/7,0/3,-,1/4,-,-
2015,7/7,3/5,4/2,-,-,-
2014,1/2,0/1,-,1/1,-,-
