Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,1/11,-,1/5,0/6,-,-
2024,0/6,-,0/4,0/2,-,-
2023,1/1,-,1/1,-,-,-
2022,0/2,-,-,0/2,-,-
2021,0/2,-,-,0/2,-,-
