Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,35/27,28/19,7/8,-,-,-
2024,27/19,20/12,7/7,-,-,-
2023,5/6,5/5,0/1,-,-,-
2022,3/2,3/2,-,-,-,-
