Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.06.,Munkhammar P.,2,,,,,,"['1', '2', '2', '3', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.64
25.06.,Michalik R.,0,,,,,,"['2', '0', '3', '1']",[],[],[],[],2.14
09.06.,Berankis R.,2,,,,,,3,5,60%,74% (35/47),55% (17/31),50% (2/4),31% (11/36),43% (16/37),80% (4/5),67% (52/78),37% (27/73),52% (79/151),7,0,85% (11/13),29% (4/14),56% (15/27),[],"['2', '0', '6', '2']","['2', '0', '6', '4']",[],[],1.80
09.06.,Michalik R.,1,,,,,,6,5,49%,69% (25/36),57% (21/37),20% (1/5),26% (12/47),45% (14/31),50% (2/4),63% (46/73),33% (26/78),48% (72/151),3,0,71% (10/14),15% (2/13),44% (12/27),"['5', '3']",[],"['2', '3']",[],[],1.86
28.05.,Popovic S.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.23
28.05.,Michalik R.,0,,,,,,[],[],[],[],[],3.81
22.05.,Kivattsev K.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.11
22.05.,Michalik R.,0,,,,,,[],[],[],[],[],5.55
21.05.,Michalik R.,2,,,,,,"['3', '1', '5', '3']","['1', '2', '3', '2', '4', '3', '6', '3']",[],[],[],1.07
21.05.,Rakonic F.,0,,,,,,"['2', '3']","['2', '0', '3', '3']",[],[],[],6.70
12.02.,Marino P.,2,,,,,,"['2', '0', '4', '0', '5', '3', '7', '5']","['3', '1', '5', '1', '6', '2']",[],[],[],1.28
12.02.,Michalik R.,0,,,,,,"['1', '4', '3', '4', '4', '5']","['2', '5']",[],[],[],3.40
06.11.2024,Handel T.,2,,,,,,"['5', '5', '7', '5']","['2', '0', '4', '0']",[],[],[],1.15
06.11.2024,Michalik R.,0,,,,,,"['5', '4']","['2', '5']",[],[],[],4.90
26.09.2024,Schiessl J. E.,2,,,,,,"['2', '1', '4', '3']","['3', '2', '5', '4']","['4', '3']",[],[],1.10
26.09.2024,Michalik R.,1,,,,,,"['2', '2', '4', '4', '7', '5']","['3', '3']",[],[],[],5.91
25.09.2024,Michalik R.,2,,,,,,[],"['2', '0']","['1', '0', '3', '0', '5', '0']",[],[],1.55
25.09.2024,Kobierski J.,1,,,,,,"['2', '1']",[],[],[],[],2.32
04.09.2024,Kimhi O.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.22
04.09.2024,Michalik R.,0,,,,,,[],[],[],[],[],3.96
29.08.2024,Simundza J.,2,,,,,,"['3', '1']",[],"['2', '0', '5', '3']",[],[],1.28
29.08.2024,Michalik R.,1,,,,,,"['3', '4']","['3', '1']","['3', '4']",[],[],3.43
27.08.2024,Michalik R.,2,,,,,,[],"['7', '5']","['2', '0', '5', '1']",[],[],5.35
27.08.2024,Wiedenmann L.,1,,,,,,"['2', '1']",[],[],[],[],1.13
19.08.2024,Marinescu M. R.,2,,,,,,"['2', '0', '4', '2', '6', '2']",[],[],[],[],1.65
19.08.2024,Michalik R.,0,,,,,,"['2', '3']",[],[],[],[],2.15
13.08.2024,Karol M.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '6', '5']",[],[],[],1.20
13.08.2024,Michalik R.,0,,,,,,[],"['3', '3']",[],[],[],4.17
31.07.2024,Ludoski Z.,1,,,,,,"['4', '3']","['1', '0', '3', '0']",[],[],[],1.73
31.07.2024,Michalik R.,0,,,,,,[],[],[],[],[],2.00
13.09.2023,Marino P.,2,,,,,,[],[],[],[],[],1.17
13.09.2023,Michalik R.,1,,,,,,[],[],[],[],[],4.62
17.08.2023,Boitan G. A.,2,,,,,,[],[],[],[],[],1.10
17.08.2023,Michalik R.,0,,,,,,[],[],[],[],[],6.66
16.08.2023,Michalik R.,2,,,,,,[],[],[],[],[],2.13
16.08.2023,Nad P.,0,,,,,,[],[],[],[],[],1.65
