Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,70/58,-,36/25,33/30,1/3,-
2024,4/3,-,1/1,3/2,-,-
2023,14/13,-,4/5,9/6,1/2,-
2022,17/10,-,11/5,6/5,-,-
2021,1/2,-,1/2,-,-,-
2018,14/12,-,13/7,1/4,0/1,-
2017,6/4,-,3/2,3/2,-,-
2016,4/4,-,-,4/4,-,-
2015,6/5,-,3/2,3/3,-,-
2014,3/3,-,-,3/3,-,-
2013,1/2,-,0/1,1/1,-,-
