Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,193/125,174/106,17/14,-,0/1,2/4
2024,42/25,40/23,1/1,-,0/1,1/0
2023,49/32,49/32,-,-,-,-
2022,55/28,54/23,1/2,-,-,0/3
2021,18/13,14/10,3/2,-,-,1/1
2019,6/3,1/1,5/2,-,-,-
2018,2/3,1/2,1/1,-,-,-
2017,2/5,0/1,2/4,-,-,-
2015,5/3,5/3,-,-,-,-
2014,8/6,6/5,2/1,-,-,-
2013,4/4,2/3,2/1,-,-,-
2012,1/2,1/2,-,-,-,-
2011,1/1,1/1,-,-,-,-
