Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,295/161,143/87,70/51,20/17,-,62/6
2024,50/23,30/16,8/6,9/1,-,3/0
2023,44/25,19/15,2/2,2/5,-,21/3
2022,88/27,31/11,15/9,4/4,-,38/3
2021,20/18,8/8,9/7,3/3,-,-
2020,9/11,8/7,1/4,-,-,-
2019,17/22,7/12,9/9,1/1,-,-
2018,20/10,17/7,3/2,0/1,-,-
2017,27/12,13/5,14/7,-,-,-
2016,17/7,9/2,7/4,1/1,-,-
2015,2/2,0/1,2/1,-,-,-
2014,1/3,1/3,-,-,-,-
2013,0/1,-,-,0/1,-,-
