Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,100/97,13/21,82/67,3/4,2/5,-
2024,24/13,-,24/13,-,-,-
2023,8/14,0/1,6/11,1/1,1/1,-
2022,6/6,2/5,4/1,-,-,-
2021,9/12,8/10,1/2,-,-,-
2020,4/4,-,4/4,-,-,-
2019,21/23,3/5,17/16,1/2,-,-
2018,17/12,-,16/11,1/1,-,-
2017,6/3,-,6/3,-,-,-
2016,3/2,-,3/2,-,-,-
2015,1/1,-,1/1,-,-,-
2014,0/1,-,-,-,0/1,-
2013,1/2,-,0/1,-,1/1,-
2012,0/3,-,0/1,-,0/2,-
2011,0/1,-,0/1,-,-,-
