Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,91/100,74/80,17/20,-,-,-
2024,4/6,4/6,-,-,-,-
2023,23/24,20/19,3/5,-,-,-
2022,27/24,21/16,6/8,-,-,-
2021,18/17,11/12,7/5,-,-,-
2019,9/15,8/14,1/1,-,-,-
2018,4/9,4/8,0/1,-,-,-
2017,5/2,5/2,-,-,-,-
2016,1/2,1/2,-,-,-,-
2015,0/1,0/1,-,-,-,-
