Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/37,28/28,-,3/9,-,-
2024,6/8,4/7,-,2/1,-,-
2023,11/6,11/6,-,-,-,-
2021,5/9,5/7,-,0/2,-,-
2020,4/4,4/4,-,-,-,-
2019,4/6,3/2,-,1/4,-,-
2018,1/4,1/2,-,0/2,-,-
