Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,165/97,70/41,83/41,12/15,-,-
2024,22/12,7/6,14/5,1/1,-,-
2023,20/19,0/2,16/11,4/6,-,-
2022,36/31,8/9,23/15,5/7,-,-
2021,46/12,20/5,24/6,2/1,-,-
2018,19/11,17/10,2/1,-,-,-
2017,19/8,15/6,4/2,-,-,-
2016,1/3,1/2,0/1,-,-,-
2015,1/1,1/1,-,-,-,-
2014,1/0,1/0,-,-,-,-
