Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,382/290,80/73,169/141,75/40,53/30,5/6
2023,18/12,3/4,10/5,5/0,0/3,-
2022,14/9,5/3,-,4/3,5/3,-
2020,6/7,3/1,2/5,1/1,-,-
2019,5/16,1/9,0/3,-,4/4,-
2018,11/17,-,3/11,8/5,0/1,-
2017,8/6,-,2/2,4/2,2/2,-
2016,18/27,3/6,11/18,1/1,3/2,-
2015,22/20,4/5,13/12,-,5/2,0/1
2014,27/18,4/5,18/10,1/2,4/1,-
2013,36/18,9/6,11/8,7/2,8/2,1/0
2012,17/21,2/4,9/10,0/2,6/3,0/2
2011,48/18,12/5,21/9,3/3,11/1,1/0
2010,8/14,-,4/9,4/5,-,-
2009,33/19,10/4,8/9,9/3,4/2,2/1
2008,33/23,9/4,19/11,4/3,0/3,1/2
2007,35/19,8/10,13/7,14/2,-,-
2006,20/11,6/5,5/3,9/3,-,-
2005,13/11,1/1,10/7,1/2,1/1,-
2004,10/4,0/1,10/2,0/1,-,-
