Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,261/249,17/23,135/106,96/84,13/34,0/2
2024,5/14,3/6,-,2/5,0/3,-
2023,27/30,3/4,12/8,10/14,2/4,-
2022,37/24,-,20/12,12/8,5/4,-
2021,19/17,2/2,11/10,3/2,3/3,-
2020,18/12,2/1,0/1,16/8,-,0/2
2019,22/22,0/1,13/9,9/8,0/4,-
2018,29/27,1/2,10/12,17/9,1/4,-
2017,29/21,0/2,12/8,16/7,1/4,-
2016,29/20,6/3,20/13,3/2,0/2,-
2015,9/6,-,9/5,0/1,-,-
2014,23/26,-,20/18,3/6,0/2,-
2013,5/11,0/2,4/4,1/3,0/2,-
2012,7/13,-,3/5,3/6,1/2,-
2011,2/6,-,1/1,1/5,-,-
