Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,591/487,159/174,128/98,269/189,35/26,-
2024,24/24,4/8,7/5,13/11,-,-
2023,27/29,8/14,7/4,12/10,0/1,-
2022,44/39,21/20,6/7,17/12,-,-
2021,39/26,5/5,22/8,12/13,-,-
2020,25/16,9/3,10/9,6/4,-,-
2019,8/21,2/11,3/5,3/4,0/1,-
2018,33/35,7/16,7/4,19/14,0/1,-
2017,39/34,9/12,4/4,24/14,2/4,-
2016,35/31,15/12,4/6,15/11,1/2,-
2015,45/32,13/13,5/5,21/11,6/3,-
2014,30/33,6/11,6/7,14/11,4/4,-
2013,45/39,8/8,3/7,24/19,10/5,-
2012,52/29,3/7,9/7,32/12,8/3,-
2011,48/28,13/8,14/7,17/11,4/2,-
2010,33/25,16/12,7/4,10/9,-,-
2009,32/18,18/8,4/2,10/8,-,-
2008,18/12,0/1,4/2,14/9,-,-
2007,10/10,2/3,5/3,3/4,-,-
2006,1/4,0/2,1/1,0/1,-,-
2005,0/1,-,0/1,-,-,-
2004,3/1,-,-,3/1,-,-
