Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,139/116,35/22,89/86,-,12/7,3/1
2024,34/20,14/7,17/12,-,-,3/1
2023,23/24,9/5,8/15,-,6/4,-
2022,4/2,-,4/2,-,-,-
2020,7/8,4/5,3/3,-,-,-
2019,15/17,2/1,10/14,-,3/2,-
2018,9/7,-,9/7,-,-,-
2016,7/6,-,4/5,-,3/1,-
2015,21/21,6/4,15/17,-,-,-
2014,11/8,-,11/8,-,-,-
2013,8/3,-,8/3,-,-,-
