Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,233/204,90/78,101/90,38/34,4/2,-
2024,14/11,4/7,10/4,-,-,-
2023,22/23,7/7,14/11,1/5,-,-
2022,29/29,6/5,10/12,13/12,-,-
2021,16/23,2/4,11/15,2/3,1/1,-
2020,37/22,5/5,22/13,10/4,-,-
2019,25/27,7/11,15/12,3/4,-,-
2018,34/32,27/20,6/11,1/1,-,-
2017,30/25,15/14,11/8,4/3,-,-
2016,10/7,4/1,2/4,4/2,-,-
2015,11/3,8/2,-,-,3/1,-
2014,5/2,5/2,-,-,-,-
