Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/85,16/36,7/24,1/4,-,5/21
2024,16/26,10/19,3/5,0/1,-,3/1
2023,9/27,5/12,2/6,-,-,2/9
2022,3/22,0/2,2/7,1/2,-,0/11
2021,1/4,1/3,0/1,-,-,-
2019,0/6,-,0/5,0/1,-,-
