Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,141/62,81/28,48/27,2/3,10/4,-
2024,47/18,15/5,23/10,-,9/3,-
2023,25/22,10/8,14/13,-,1/1,-
2022,58/17,46/11,11/4,1/2,-,-
2021,9/3,8/2,-,1/1,-,-
2020,2/2,2/2,-,-,-,-
