Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.07.,McKennon M.,2,,,,,,3,3,65%,83% (29/35),58% (11/19),100% (3/3),21% (5/24),64% (16/25),60% (3/5),20,13,100% (9/9),74% (40/54),43% (21/49),59% (61/103),6,0,100% (9/9),38% (3/8),71% (12/17),"['4', '2', '6', '2']","['4', '2']",[],[],[],1.28
27.07.,Pavel B.,0,,,,,,3,1,49%,79% (19/24),36% (9/25),40% (2/5),17% (6/35),42% (8/19),0% (0/3),14,17,64% (7/11),57% (28/49),26% (14/54),41% (42/103),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.48
29.06.,Palosi S.,2,,,,,,7,3,62%,79% (30/38),48% (11/23),83% (5/6),43% (16/37),56% (20/36),29% (4/14),67% (41/61),49% (36/73),57% (77/134),6,0,89% (8/9),44% (4/9),67% (12/18),"['4', '4', '6', '4']","['2', '0', '6', '2']",[],[],[],1.39
29.06.,Pavel B.,0,,,,,,1,2,51%,57% (21/37),44% (16/36),71% (10/14),21% (8/38),52% (12/23),17% (1/6),51% (37/73),33% (20/61),43% (57/134),4,1,56% (5/9),11% (1/9),33% (6/18),"['2', '1']",[],[],[],[],2.85
24.06.,Ghetu G.,2,,,,,,"['1', '1', '3', '3', '5', '3']","['2', '1', '4', '1', '5', '2', '6', '3']",[],[],[],1.43
24.06.,Pavel B.,0,,,,,,"['1', '0', '2', '1', '4', '5']","['2', '4', '3', '5']",[],[],[],2.66
08.05.,Perfetti N.,1,,,,,,"['3', '1', '4', '2']","['2', '1']",[],[],[],2.42
08.05.,Pavel B.,0,,,,,,"['2', '3']",[],[],[],[],1.51
07.05.,Pavel B.,2,,,,,,"['1', '0', '2', '1', '3', '4']","['2', '2', '5', '3']","['1', '0', '3', '0', '6', '3']",[],[],2.16
07.05.,Raynel A.,1,,,,,,"['1', '1', '2', '2', '4', '2', '5', '3']","['1', '0']","['1', '3']",[],[],1.63
19.03.,Kuhar M.,2,,,,,,"['2', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],2.09
19.03.,Pavel B.,0,,,,,,[],[],[],[],[],1.68
10.03.,Serafini M.,2,,,,,,6,1,72%,68% (21/31),58% (7/12),80% (4/5),53% (10/19),77% (17/22),55% (6/11),65% (28/43),66% (27/41),65% (55/84),8,0,86% (6/7),86% (6/7),86% (12/14),"['2', '1', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.60
10.03.,Pavel B.,0,,,,,,1,2,46%,47% (9/19),23% (5/22),45% (5/11),32% (10/31),42% (5/12),20% (1/5),34% (14/41),35% (15/43),35% (29/84),2,0,14% (1/7),14% (1/7),14% (2/14),[],"['1', '0']",[],[],[],2.25
09.03.,Pavel B.,2,,,,,,7,1,53%,80% (37/46),57% (23/40),50% (1/2),29% (14/49),51% (18/35),33% (3/9),70% (60/86),38% (32/84),54% (92/170),8,0,93% (13/14),23% (3/13),59% (16/27),[],"['3', '1']","['3', '2', '5', '2']",[],[],1.07
09.03.,Tsitsipas Pe.,1,,,,,,2,4,58%,71% (35/49),49% (17/35),67% (6/9),20% (9/46),43% (17/40),50% (1/2),62% (52/84),30% (26/86),46% (78/170),2,0,77% (10/13),7% (1/14),41% (11/27),"['5', '4']",[],[],[],[],7.00
13.02.,Added D.,2,,,,,,"['3', '3']","['4', '3']",[],[],[],1.34
13.02.,Pavel B.,0,,,,,,"['1', '0']",[],[],[],[],3.03
11.02.,Pavel B.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.01
11.02.,Golescu R. A.,0,,,,,,[],[],[],[],[],11.50
22.01.,Sharipov M.,2,,,,,,"['3', '1']","['5', '4']",[],[],[],-
22.01.,Pavel B.,0,,,,,,[],[],[],[],[],-
