Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,130/84,123/80,1/4,-,-,6/0
2024,22/19,16/19,-,-,-,6/0
2023,24/9,24/9,-,-,-,-
2022,14/6,14/6,-,-,-,-
2021,10/5,10/5,-,-,-,-
2020,6/2,6/2,-,-,-,-
2019,14/9,14/9,-,-,-,-
2018,18/12,18/10,0/2,-,-,-
2017,5/3,5/3,-,-,-,-
2016,6/5,6/5,-,-,-,-
2015,6/9,6/9,-,-,-,-
2014,5/5,4/3,1/2,-,-,-
