Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,304/268,85/78,163/164,12/14,-,44/12
2024,41/26,16/13,9/8,-,-,16/5
2023,29/26,13/12,3/8,5/4,-,8/2
2022,47/35,7/6,15/18,5/6,-,20/5
2021,30/32,7/10,23/22,-,-,-
2020,5/7,-,5/7,-,-,-
2019,34/31,5/3,28/27,1/1,-,-
2018,28/25,5/3,23/21,0/1,-,-
2017,24/26,9/11,15/15,-,-,-
2016,21/25,8/9,13/15,0/1,-,-
2015,34/24,9/7,25/17,-,-,-
2014,6/7,1/1,4/5,1/1,-,-
2013,5/2,5/2,-,-,-,-
2011,0/2,0/1,0/1,-,-,-
