Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,49/65,7/11,41/47,-,-,1/7
2024,1/2,1/2,-,-,-,-
2023,3/4,1/2,2/2,-,-,-
2022,10/8,-,9/5,-,-,1/3
2021,1/10,1/2,0/7,-,-,0/1
2020,3/4,-,3/3,-,-,0/1
2019,19/21,2/4,17/16,-,-,0/1
2018,10/7,2/1,8/5,-,-,0/1
2017,2/6,-,2/6,-,-,-
2016,0/2,-,0/2,-,-,-
2015,0/1,-,0/1,-,-,-
