Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.06.,Ivanov S.,2,,,,,,"['1', '0', '3', '2', '6', '3']","['3', '1', '5', '3']",[],[],[],1.79
11.06.,Alkotop M.,0,,,,,,"['2', '2']","['2', '3']",[],[],[],1.91
04.06.,Bertimon M.,2,,,,,,"['4', '3']","['1', '0', '3', '0', '6', '3']",[],[],[],-
04.06.,Alkotop M.,0,,,,,,[],"['1', '3']",[],[],[],-
07.11.2024,D'Agostino S.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.62
07.11.2024,Alkotop M.,0,,,,,,[],[],[],[],[],2.18
06.11.2024,Alkotop M.,2,,,,,,[],"['3', '1', '5', '3']","['2', '1', '4', '1']",[],[],1.60
06.11.2024,Makhlouf N.,1,,,,,,"['3', '1', '5', '1']","['2', '3']",[],[],[],2.22
31.10.2024,Marmousez L.,2,,,,,,"['4', '3', '6', '3']","['3', '1', '5', '1']",[],[],[],1.11
31.10.2024,Alkotop M.,0,,,,,,[],[],[],[],[],5.85
30.10.2024,Alkotop M.,2,,,,,,"['1', '0', '4', '5', '6', '5']","['3', '1', '6', '2']",[],[],[],1.85
30.10.2024,Makhlouf N.,0,,,,,,"['2', '2', '5', '3', '6', '6']",[],[],[],[],1.85
26.09.2024,Celikbilek A.,2,,,,,,"['3', '1', '5', '3']","['3', '2', '5', '4']",[],[],[],1.06
26.09.2024,Alkotop M.,0,,,,,,"['3', '4']","['3', '3']",[],[],[],7.42
25.09.2024,Alkotop M.,2,,,,,,"['1', '0', '3', '2', '4', '3', '6', '3']",[],"['1', '2', '3', '2', '6', '3']",[],[],1.30
25.09.2024,Smiej Y.,1,,,,,,"['2', '2', '3', '3']","['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],3.26
17.09.2024,Kumar O.,2,,,,,,"['7', '5']","['3', '1']",[],[],[],1.06
17.09.2024,Alkotop M.,0,,,,,,[],[],[],[],[],7.60
11.09.2024,Hamza Reguig S.,2,,,,,,"['5', '3', '7', '5']","['4', '4']",[],[],[],1.24
11.09.2024,Alkotop M.,0,,,,,,"['4', '5']","['3', '2']",[],[],[],3.77
05.09.2024,Ehrenschneider N.,2,,,,,,"['2', '2', '5', '5']","['3', '4', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],1.34
05.09.2024,Alkotop M.,1,,,,,,"['1', '0', '3', '2']","['3', '1']",[],[],[],3.05
04.09.2024,Alkotop M.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['1', '1', '3', '1', '5', '1']",[],[],[],4.46
04.09.2024,Lumsden E.,0,,,,,,"['3', '3']","['1', '0']",[],[],[],1.18
07.08.2024,Bertimon M.,2,,,,,,"['3', '1']","['1', '0', '4', '3', '6', '3']",[],[],[],1.39
07.08.2024,Alkotop M.,0,,,,,,[],"['3', '3']",[],[],[],2.83
31.07.2024,Hazawa S.,2,,,,,,"['2', '1', '6', '3']",[],"['1', '0']",[],[],1.31
31.07.2024,Alkotop M.,1,,,,,,[],[],"['4', '4']",[],[],3.24
15.06.2024,Hobbs R.,2,,,,,,"['3', '2']","['2', '0', '5', '1']","['1', '0']",[],[],4.40
15.06.2024,Alkotop M.,1,,,,,,"['3', '3', '5', '3']",[],[],[],[],1.19
14.06.2024,Naw H.,2,,,,,,"['4', '2']","['3', '2', '5', '2']",[],[],[],1.10
14.06.2024,Alkotop M.,0,,,,,,[],[],[],[],[],6.33
13.06.2024,Jones M.,2,,,,,,"['3', '2', '6', '3']","['4', '2']",[],[],[],1.47
13.06.2024,Alkotop M.,0,,,,,,[],[],[],[],[],2.59
11.06.2024,Alkotop M.,2,,,,,,"['1', '0', '3', '0']","['1', '2', '3', '2', '6', '3']",[],[],[],1.07
11.06.2024,Kelley H.,0,,,,,,[],"['2', '0']",[],[],[],7.45
10.06.2024,Alkotop M.,2,,,,,,"['1', '0', '3', '0', '4', '3', '5', '4']","['4', '5']","['1', '1', '5', '3']",[],[],-
10.06.2024,Moghimi S.,1,,,,,,"['1', '3', '3', '3', '4', '4']","['4', '2']","['1', '0']",[],[],-
13.12.2023,Bakshi A.,2,,,,,,[],[],[],[],[],1.31
13.12.2023,Alkotop M.,0,,,,,,[],[],[],[],[],3.22
06.12.2023,Hussey G.,2,,,,,,[],[],[],[],[],1.01
06.12.2023,Alkotop M.,0,,,,,,[],[],[],[],[],11.70
