Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M15 Sharm ElSheikh 18 (Egypt),hard,header
ITF MEN - SINGLES :  M15 Sharm ElSheikh 17 (Egypt),hard,header
CHALLENGER MEN - SINGLES :  Olbia (Italy) - Qualification,hard,header
31.05.2023,Moraing M.,1,2,6,6^4,,,7,4,56%,66% (42/64),38% (19/50),67% (10/15),24% (10/42),61% (23/38),63% (5/8),6,54% (61/114),41% (33/80),48% (94/194),4,64% (9/14),38% (5/13),52% (14/27),"['1', '5']","['2', '0', '4', '0', '5', '1']","['4', '5']",[],[],1.98
31.05.2023,Hardt N.,2,6,1,7^7,,,1,4,53%,76% (32/42),39% (15/38),38% (3/8),34% (22/64),62% (31/50),33% (5/15),8,59% (47/80),46% (53/114),52% (100/194),5,62% (8/13),36% (5/14),48% (13/27),"['1', '0', '3', '0', '5', '0']","['1', '4']","['2', '0']",[],[],1.76
29.05.2023,Moraing M.,2,6,6,,,,9,2,67%,77% (24/31),33% (5/15),50% (2/4),28% (8/29),81% (22/27),60% (6/10),6,63% (29/46),54% (30/56),58% (59/102),4,75% (6/8),67% (6/9),71% (12/17),"['1', '0', '3', '0', '5', '2']","['3', '2', '5', '2', '6', '3']",[],[],[],1.95
29.05.2023,Sels J.,0,2,3,,,,5,3,52%,72% (21/29),19% (5/27),40% (4/10),23% (7/31),67% (10/15),50% (2/4),3,46% (26/56),37% (17/46),42% (43/102),2,33% (3/9),25% (2/8),29% (5/17),"['2', '4']","['3', '5']",[],[],[],1.79
ITF MEN - SINGLES :  M25 Most (Czech Republic),clay,header
CHALLENGER MEN - SINGLES :  Mauthausen (Austria) - Qualification,clay,header
07.05.2023,Moraing M.,1,0,6,4,,,7,2,51%,63% (24/38),43% (16/37),29% (2/7),37% (30/81),46% (13/28),15% (2/13),8,53% (40/75),39% (43/109),45% (83/184),3,62% (8/13),15% (2/13),38% (10/26),[],"['1', '1', '6', '4']",[],[],[],4.20
07.05.2023,Nagal S.,2,6,4,6,,,1,4,74%,63% (51/81),54% (15/28),85% (11/13),37% (14/38),57% (21/37),71% (5/7),6,61% (66/109),47% (35/75),55% (101/184),7,85% (11/13),38% (5/13),62% (16/26),"['1', '0', '3', '0', '5', '0']","['1', '0']","['3', '2']",[],[],1.20
CHALLENGER MEN - SINGLES :  Waco (USA) - Qualification,hard,header
27.02.2023,Blanch U.,0,3,3,,,,0,3,66%,76% (19/25),31% (4/13),0% (0/2),18% (5/28),74% (14/19),13% (1/8),7,61% (23/38),40% (19/47),49% (42/85),2,71% (5/7),14% (1/7),43% (6/14),"['1', '4']",[],[],[],[],1.89
27.02.2023,Moraing M.,1,6,2,,,,5,4,60%,82% (23/28),26% (5/19),88% (7/8),24% (6/25),69% (9/13),100% (2/2),5,60% (28/47),39% (15/38),51% (43/85),4,86% (6/7),29% (2/7),57% (8/14),"['2', '0', '4', '0']",[],[],[],[],1.84
CHALLENGER MEN - SINGLES :  Rome US (USA),hard,header
22.02.2023,Michelsen A.,0,6^4,3,,,,2,4,55%,70% (19/27),59% (13/22),33% (1/3),24% (7/29),56% (15/27),50% (3/6),7,65% (32/49),39% (22/56),51% (54/105),3,75% (6/8),38% (3/8),56% (9/16),"['2', '0']","['1', '0', '2', '1']",[],[],[],1.53
22.02.2023,Moraing M.,1,7^7,1,,,,7,1,52%,76% (22/29),44% (12/27),50% (3/6),30% (8/27),41% (9/22),67% (2/3),7,61% (34/56),35% (17/49),49% (51/105),3,63% (5/8),25% (2/8),44% (7/16),"['4', '5']","['1', '1']",[],[],[],2.43
21.02.2023,Moraing M.,2,1,6,6,,,7,4,58%,82% (37/45),39% (13/33),50% (3/6),31% (15/49),46% (19/41),30% (3/10),7,64% (50/78),38% (34/90),50% (84/168),3,77% (10/13),23% (3/13),50% (13/26),[],"['4', '2', '6', '4']","['3', '1']",[],[],1.84
