Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,425/281,193/127,97/65,129/75,6/14,-
2024,3/0,3/0,-,-,-,-
2023,22/16,14/5,5/8,3/3,-,-
2022,22/29,11/14,4/6,6/5,1/4,-
2021,39/23,29/15,2/2,8/5,0/1,-
2020,12/10,9/4,0/1,3/5,-,-
2019,29/25,14/11,10/7,2/4,3/3,-
2018,46/34,13/10,14/9,17/11,2/4,-
2017,66/30,23/9,20/10,23/11,-,-
2016,41/23,20/13,2/3,19/7,-,-
2015,37/21,4/7,7/4,26/10,-,-
2014,57/26,17/8,22/8,18/8,0/2,-
2013,33/15,24/11,7/3,2/1,-,-
2012,11/9,6/5,4/3,1/1,-,-
2011,1/2,1/2,-,-,-,-
2010,5/8,4/5,0/1,1/2,-,-
2009,1/6,1/5,-,0/1,-,-
2008,0/4,0/3,-,0/1,-,-
