Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,26/22,-,26/22,-,-,-
2024,9/4,-,9/4,-,-,-
2023,11/11,-,11/11,-,-,-
2022,6/7,-,6/7,-,-,-
