Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,702/384,170/108,269/152,139/75,91/32,33/17
2024,5/6,0/1,5/4,-,-,0/1
2023,1/1,0/1,1/0,-,-,-
2022,32/21,9/5,16/10,3/4,3/1,1/1
2021,33/23,5/5,6/9,12/3,9/2,1/4
2020,15/15,2/5,8/5,3/5,-,2/0
2019,25/19,5/4,14/10,3/3,3/2,-
2018,44/21,9/5,20/9,4/5,6/1,5/1
2017,45/22,12/4,11/8,8/7,12/3,2/0
2016,50/25,3/2,21/11,14/6,7/3,5/3
2015,37/19,7/6,17/8,6/2,7/3,-
2014,59/22,10/6,28/10,13/4,5/2,3/0
2013,28/12,5/5,7/4,7/2,7/1,2/0
2012,44/20,15/6,14/9,2/2,12/2,1/1
2011,44/22,13/7,12/9,13/5,2/1,4/0
2010,40/22,9/5,19/10,9/4,1/2,2/1
2009,49/23,9/5,22/12,13/3,2/2,3/1
2008,38/26,6/7,22/11,3/4,7/3,0/1
2007,50/22,22/7,8/6,15/6,3/2,2/1
2006,43/30,15/14,14/4,9/8,5/2,0/2
2005,18/11,13/7,3/2,2/2,-,-
2004,2/2,1/1,1/1,-,-,-
