Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES Segovia (Spain),hard,header
21.07.,Peniston R.,0,,,,,,5,8,51%,70% (28/40),37% (14/38),72% (13/18),32% (12/37),39% (11/28),50% (2/4),12,35,80% (4/5),54% (42/78),35% (23/65),45% (65/143),3,0,50% (5/10),20% (2/10),35% (7/20),[],[],[],[],[],0
21.07.,Loffhagen G.,2,,,,,,6,1,57%,68% (25/37),61% (17/28),50% (2/4),30% (12/40),63% (24/38),28% (5/18),21,37,83% (5/6),65% (42/65),46% (36/78),55% (78/143),7,0,80% (8/10),50% (5/10),65% (13/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Pozoblanco (Spain),hard,header
18.07.,Peniston R.,0,,,,,,1,2,55%,59% (17/29),38% (9/24),43% (3/7),17% (6/35),52% (12/23),14% (1/7),9,22,41% (7/17),49% (26/53),31% (18/58),40% (44/111),2,0,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
18.07.,Shah A.,2,,,,,,7,1,60%,83% (29/35),48% (11/23),86% (6/7),41% (12/29),63% (15/24),57% (4/7),28,19,80% (4/5),69% (40/58),51% (27/53),60% (67/111),8,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
15.07.,Peniston R.,2,,,,,,1,1,75%,59% (24/41),50% (7/14),20% (1/5),59% (27/46),61% (14/23),47% (7/15),18,29,86% (6/7),56% (31/55),59% (41/69),58% (72/124),5,0,56% (5/9),70% (7/10),63% (12/19),[],[],[],[],[],0
15.07.,Kukushkin M.,0,,,,,,1,2,67%,41% (19/46),39% (9/23),53% (8/15),41% (17/41),50% (7/14),80% (4/5),14,45,67% (4/6),41% (28/69),44% (24/55),42% (52/124),5,7,30% (3/10),44% (4/9),37% (7/19),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Pozoblanco (Spain) - Qualification,hard,header
14.07.,Peniston R.,2,,,,,,3,2,67%,69% (25/36),67% (12/18),75% (3/4),44% (15/34),55% (16/29),40% (4/10),16,25,67% (4/6),69% (37/54),49% (31/63),58% (68/117),5,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
14.07.,Ursu V.,0,,,,,,1,4,54%,56% (19/34),45% (13/29),60% (6/10),31% (11/36),33% (6/18),25% (1/4),19,37,71% (12/17),51% (32/63),31% (17/54),42% (49/117),5,1,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
13.07.,Peniston R.,2,,,,,,3,2,70%,63% (39/62),73% (19/26),70% (7/10),45% (25/56),43% (12/28),71% (5/7),19,28,43% (3/7),66% (58/88),44% (37/84),55% (95/172),7,0,79% (11/14),36% (5/14),57% (16/28),[],[],[],[],[],0
13.07.,Catry R.,1,,,,,,4,0,67%,55% (31/56),57% (16/28),29% (2/7),37% (23/62),27% (7/26),30% (3/10),29,54,57% (21/37),56% (47/84),34% (30/88),45% (77/172),3,0,64% (9/14),21% (3/14),43% (12/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Nottingham 4 (United Kingdom),grass,header
11.07.,Peniston R.,1,,,,,,2,7,65%,71% (45/63),56% (19/34),50% (3/6),17% (9/54),56% (24/43),43% (3/7),66% (64/97),34% (33/97),50% (97/194),5,0,81% (13/16),20% (3/15),52% (16/31),[],[],[],[],[],0
11.07.,Stewart H.,2,,,,,,10,6,56%,83% (45/54),44% (19/43),57% (4/7),29% (18/63),44% (15/34),50% (3/6),66% (64/97),34% (33/97),50% (97/194),5,0,80% (12/15),19% (3/16),48% (15/31),[],[],[],[],[],0
09.07.,Peniston R.,2,,,,,,3,5,65%,75% (41/55),48% (14/29),89% (8/9),38% (26/68),56% (15/27),36% (4/11),65% (55/84),43% (41/95),54% (96/179),5,0,92% (12/13),33% (4/12),64% (16/25),[],[],[],[],[],0
09.07.,Searle H.,1,,,,,,4,2,72%,62% (42/68),44% (12/27),64% (7/11),25% (14/55),52% (15/29),11% (1/9),57% (54/95),35% (29/84),46% (83/179),5,3,67% (8/12),8% (1/13),36% (9/25),[],[],[],[],[],0
08.07.,Peniston R.,2,,,,,,5,1,82%,78% (35/45),60% (6/10),100% (4/4),26% (9/35),69% (11/16),100% (3/3),75% (41/55),39% (20/51),58% (61/106),7,0,100% (9/9),30% (3/10),63% (12/19),[],[],[],[],[],0
08.07.,Jones B.,0,,,,,,6,1,69%,74% (26/35),31% (5/16),0% (0/3),22% (10/45),40% (4/10),0% (0/4),61% (31/51),25% (14/55),42% (45/106),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],0
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
25.06.,Peniston R.,1,,,,,,6,0,79%,65% (51/79),48% (10/21),73% (8/11),32% (22/69),53% (21/40),27% (3/11),25,29,61% (14/23),61% (61/100),39% (43/109),50% (104/209),4,2,79% (11/14),20% (3/15),48% (14/29),3311,[],[],[],[],[],0
25.06.,Landaluce M.,2,,,,,,4,6,63%,68% (47/69),48% (19/40),73% (8/11),35% (28/79),52% (11/21),27% (3/11),41,46,58% (7/12),61% (66/109),39% (39/100),50% (105/209),6,0,80% (12/15),21% (3/14),52% (15/29),3233,[],[],[],[],[],0
23.06.,Peniston R.,2,,,,,,0,3,72%,68% (21/31),67% (8/12),75% (6/8),55% (12/22),73% (16/22),67% (6/9),9,11,86% (6/7),67% (29/43),64% (28/44),66% (57/87),6,0,75% (6/8),75% (6/8),75% (12/16),[],[],[],[],[],0
23.06.,Bagnis F.,0,,,,,,0,2,50%,45% (10/22),27% (6/22),33% (3/9),32% (10/31),33% (4/12),25% (2/8),5,37,33% (4/12),36% (16/44),33% (14/43),34% (30/87),4,0,25% (2/8),25% (2/8),25% (4/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Nottingham (United Kingdom),grass,header
18.06.,Peniston R.,0,,,,,,2,1,67%,60% (28/47),70% (16/23),50% (3/6),23% (10/43),48% (13/27),40% (2/5),63% (44/70),33% (23/70),48% (67/140),4,0,73% (8/11),18% (2/11),45% (10/22),[],[],[],[],[],0
18.06.,Nava E.,2,,,,,,12,4,61%,77% (33/43),52% (14/27),60% (3/5),40% (19/47),30% (7/23),50% (3/6),67% (47/70),37% (26/70),52% (73/140),6,0,82% (9/11),27% (3/11),55% (12/22),[],[],[],[],[],0
15.06.,Peniston R.,2,,,,,,4,7,60%,73% (38/52),46% (16/35),62% (8/13),43% (26/61),54% (13/24),64% (7/11),62% (54/87),46% (39/85),54% (93/172),8,0,67% (10/15),47% (7/15),57% (17/30),[],[],[],[],[],0
15.06.,Galan D. E.,1,,,,,,6,3,72%,57% (35/61),46% (11/24),36% (4/11),27% (14/52),54% (19/35),38% (5/13),54% (46/85),38% (33/87),46% (79/172),2,0,53% (8/15),33% (5/15),43% (13/30),[],[],[],[],[],0
ATP - SINGLES Hertogenbosch (Netherlands) - Qualification,grass,header
08.06.,Peniston R.,0,,,,,,2,1,74%,68% (27/40),43% (6/14),50% (4/8),23% (10/43),54% (7/13),50% (1/2),13,18,50% (3/6),59% (30/51),30% (17/56),44% (47/107),5,1,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
08.06.,McDonald M.,2,,,,,,0,1,77%,77% (33/43),46% (6/13),50% (1/2),33% (13/40),57% (8/14),50% (4/8),21,22,80% (16/20),70% (39/56),41% (21/51),56% (60/107),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Birmingham (United Kingdom) - Qualification,grass,header
01.06.,Peniston R.,0,,,,,,2,3,66%,65% (28/43),64% (14/22),67% (4/6),24% (13/54),35% (6/17),33% (1/3),65% (42/65),27% (19/71),45% (61/136),6,2,82% (9/11),9% (1/11),45% (10/22),[],[],[],[],[],0
01.06.,Wong C.,2,,,,,,3,0,76%,76% (41/54),65% (11/17),67% (2/3),35% (15/43),36% (8/22),33% (2/6),73% (52/71),35% (23/65),55% (75/136),4,0,91% (10/11),18% (2/11),55% (12/22),[],[],[],[],[],0
ITF MEN - SINGLES M25 Tbilisi (Georgia),hard,header
CHALLENGER MEN - SINGLES Wuxi (China),hard,header
09.05.,Peniston R.,0,,,,,,1,3,53%,48% (14/29),42% (11/26),50% (5/10),23% (6/26),47% (8/17),100% (1/1),45% (25/55),33% (14/43),40% (39/98),2,0,38% (3/8),13% (1/8),25% (4/16),[],[],[],[],[],0
09.05.,Sun F.,2,,,,,,3,1,60%,77% (20/26),53% (9/17),0% (0/1),52% (15/29),58% (15/26),50% (5/10),67% (29/43),55% (30/55),60% (59/98),8,0,88% (7/8),63% (5/8),75% (12/16),[],[],[],[],[],0
07.05.,Peniston R.,2,,,,,,2,6,62%,71% (44/62),45% (17/38),20% (1/5),30% (15/50),56% (40/71),25% (5/20),61% (61/100),45% (55/121),52% (116/221),6,0,75% (12/16),33% (5/15),55% (17/31),[],[],[],[],[],0
07.05.,Watanuki Y.,1,,,,,,6,14,41%,70% (35/50),44% (31/71),75% (15/20),29% (18/62),55% (21/38),80% (4/5),55% (66/121),39% (39/100),48% (105/221),4,0,67% (10/15),25% (4/16),45% (14/31),[],[],[],[],[],0
05.05.,Peniston R.,1,,,,,,1,0,57%,80% (16/20),80% (12/15),100% (1/1),37% (10/27),63% (17/27),38% (3/8),68% (28/41),31% (12/39),69% (55/80),10,0,100% (6/6),43% (3/7),69% (9/13),[],[],[],[],[],0
05.05.,McCabe J.,0,,,,,,2,4,50%,63% (17/27),37% (10/27),63% (5/8),20% (4/20),20% (3/15),0% (0/1),69% (27/39),32% (13/41),43% (34/80),0,0,57% (4/7),0% (0/6),31% (4/13),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Guangzhou (China),hard,header
29.04.,Peniston R.,1,,,,,,5,7,60%,69% (45/65),39% (17/44),74% (14/19),24% (13/55),61% (20/33),40% (4/10),57% (62/109),38% (33/88),48% (95/197),4,2,67% (10/15),27% (4/15),47% (14/30),[],[],[],[],[],0
29.04.,Schoolkate T.,2,,,,,,8,8,63%,76% (42/55),39% (13/33),60% (6/10),31% (20/65),61% (27/44),26% (5/19),63% (55/88),43% (47/109),52% (102/197),6,0,73% (11/15),33% (5/15),53% (16/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Guangzhou (China) - Qualification,hard,header
28.04.,Peniston R.,2,,,,,,1,4,60%,71% (25/35),57% (13/23),86% (6/7),46% (19/41),48% (12/25),44% (4/9),66% (38/58),47% (31/66),56% (69/124),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
28.04.,Cukierman D.,0,,,,,,2,8,62%,54% (22/41),52% (13/25),56% (5/9),29% (10/35),43% (10/23),14% (1/7),53% (35/66),34% (20/58),44% (55/124),5,1,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
27.04.,Peniston R.,2,,,,,,4,3,47%,90% (18/20),61% (14/23),100% (1/1),54% (15/28),68% (13/19),63% (5/8),74% (32/43),60% (28/47),67% (60/90),8,0,100% (7/7),63% (5/8),80% (12/15),[],[],[],[],[],0
27.04.,Zheng Z.,0,,,,,,2,2,60%,46% (13/28),32% (6/19),38% (3/8),10% (2/20),39% (9/23),0% (0/1),40% (19/47),26% (11/43),33% (30/90),2,0,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],0
ITF MEN - SINGLES M25 Sharm ElSheikh (Egypt),hard,header
ITF MEN - SINGLES M25 Loule (Portugal),hard,header
CHALLENGER MEN - SINGLES Hersonissos 2 (Greece),hard,header
13.03.,Peniston R.,0,,,,,,0,3,60%,58% (21/36),42% (10/24),17% (1/6),39% (18/46),51% (19/37),33% (3/9),52% (31/60),45% (37/83),48% (68/143),4,1,50% (5/10),30% (3/10),40% (8/20),[],[],[],[],[],0
13.03.,Skatov T.,2,,,,,,2,4,55%,61% (28/46),49% (18/37),67% (6/9),42% (15/36),58% (14/24),83% (5/6),55% (46/83),48% (29/60),52% (75/143),6,0,70% (7/10),50% (5/10),60% (12/20),[],[],[],[],[],0
11.03.,Peniston R.,2,,,,,,2,2,69%,63% (24/38),53% (9/17),50% (3/6),44% (17/39),67% (22/33),55% (6/11),60% (33/55),54% (39/72),57% (72/127),7,0,67% (6/9),67% (6/9),67% (12/18),[],[],[],[],[],0
11.03.,Klizan M.,0,,,,,,2,5,54%,56% (22/39),33% (11/33),45% (5/11),37% (14/38),47% (8/17),50% (3/6),46% (33/72),40% (22/55),43% (55/127),3,1,33% (3/9),33% (3/9),33% (6/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Hersonissos 2 (Greece) - Qualification,hard,header
10.03.,Peniston R.,2,,,,,,4,1,69%,74% (25/34),67% (10/15),67% (2/3),44% (14/32),57% (13/23),36% (4/11),71% (35/49),49% (27/55),60% (62/104),8,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
10.03.,Karol M.,0,,,,,,1,1,58%,56% (18/32),43% (10/23),64% (7/11),26% (9/34),33% (5/15),33% (1/3),51% (28/55),29% (14/49),40% (42/104),2,0,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
09.03.,Peniston R.,2,,,,,,2,1,59%,79% (23/29),70% (14/20),100% (2/2),46% (12/26),63% (10/16),100% (4/4),76% (37/49),52% (22/42),65% (59/91),8,0,100% (9/9),43% (3/7),75% (12/16),[],[],[],[],[],0
09.03.,Brown P.,0,,,,,,1,2,62%,54% (14/26),38% (6/16),0% (0/4),21% (6/29),30% (6/20),0% (0/2),48% (20/42),24% (12/49),35% (32/91),2,0,57% (4/7),0% (0/9),25% (4/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Hersonissos (Greece),hard,header
08.03.,Peniston R.,0,,,,,,1,5,60%,56% (25/45),47% (14/30),58% (7/12),31% (9/29),45% (13/29),40% (2/5),52% (39/75),38% (22/58),46% (61/133),2,0,50% (5/10),20% (2/10),35% (7/20),[],[],[],[],[],0
08.03.,Parker S.,2,,,,,,2,0,50%,69% (20/29),55% (16/29),60% (3/5),44% (20/45),53% (16/30),42% (5/12),62% (36/58),48% (36/75),54% (72/133),8,0,80% (8/10),50% (5/10),65% (13/20),[],[],[],[],[],0
07.03.,Peniston R.,2,,,,,,0,3,62%,68% (23/34),57% (12/21),40% (2/5),38% (13/34),73% (19/26),56% (5/9),64% (35/55),53% (32/60),58% (67/115),7,0,70% (7/10),50% (5/10),60% (12/20),[],[],[],[],[],0
07.03.,Karatsev A.,0,,,,,,2,3,57%,62% (21/34),27% (7/26),44% (4/9),32% (11/34),43% (9/21),60% (3/5),47% (28/60),36% (20/55),42% (48/115),3,0,50% (5/10),30% (3/10),40% (8/20),[],[],[],[],[],0
06.03.,Peniston R.,2,,,,,,3,1,79%,70% (31/44),58% (7/12),83% (5/6),42% (16/38),71% (12/17),80% (4/5),68% (38/56),51% (28/55),59% (66/111),6,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],0
06.03.,Sultanov K.,0,,,,,,1,2,69%,58% (22/38),29% (5/17),20% (1/5),30% (13/44),42% (5/12),17% (1/6),49% (27/55),32% (18/56),41% (45/111),4,2,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],0
05.03.,Peniston R.,2,,,,,,1,2,70%,70% (30/43),50% (9/18),50% (2/4),28% (14/50),68% (23/34),40% (4/10),64% (39/61),44% (37/84),52% (76/145),7,0,80% (8/10),40% (4/10),60% (12/20),[],[],[],[],[],0
05.03.,Soriano Barrera A.,0,,,,,,5,6,60%,72% (36/50),32% (11/34),60% (6/10),30% (13/43),50% (9/18),50% (2/4),56% (47/84),36% (22/61),48% (69/145),3,0,60% (6/10),20% (2/10),40% (8/20),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Hersonissos (Greece) - Qualification,hard,header
03.03.,Peniston R.,2,,,,,,3,3,50%,83% (20/24),63% (15/24),67% (2/3),38% (19/50),71% (12/17),100% (4/4),73% (35/48),46% (31/67),57% (66/115),7,0,89% (8/9),40% (4/10),63% (12/19),[],[],[],[],[],0
03.03.,Whitehouse M.,0,,,,,,1,3,75%,62% (31/50),29% (5/17),0% (0/4),17% (4/24),38% (9/24),33% (1/3),54% (36/67),27% (13/48),43% (49/115),3,0,60% (6/10),11% (1/9),37% (7/19),[],[],[],[],[],0
ITF MEN - SINGLES M25 Vila Real de Santo Antonio 2 (Portugal),hard,header
