Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,93/53,3/5,82/43,8/5,-,-
2024,37/14,-,30/13,7/1,-,-
2023,31/19,3/1,28/18,-,-,-
2022,24/17,0/4,24/12,0/1,-,-
2021,1/2,-,-,1/2,-,-
2020,0/1,-,-,0/1,-,-
