Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,55/65,5/10,49/51,-,1/4,-
2024,24/19,-,24/17,-,0/2,-
2023,14/22,4/4,9/16,-,1/2,-
2022,15/22,1/6,14/16,-,-,-
2020,2/2,-,2/2,-,-,-
