Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,578/536,217/236,209/169,145/110,2/2,5/19
2024,18/36,9/19,7/16,2/1,-,-
2023,47/41,11/11,28/23,7/4,-,1/3
2022,27/40,5/12,11/15,9/11,2/1,0/1
2021,31/38,11/20,13/10,7/8,-,-
2020,28/33,2/3,24/26,2/3,-,0/1
2019,34/40,14/14,16/17,4/8,-,0/1
2018,39/34,17/21,11/8,11/5,-,-
2017,42/42,19/23,11/7,11/9,-,1/3
2016,54/35,20/16,16/6,18/10,-,0/3
2015,18/23,7/12,10/7,1/2,-,0/2
2014,26/32,8/12,8/9,8/8,0/1,2/2
2013,43/30,16/15,10/3,17/12,-,-
2012,50/30,22/14,6/2,22/14,-,-
2011,47/30,19/14,12/7,16/9,-,-
2010,28/28,13/14,11/7,3/4,-,1/3
2009,33/17,18/12,12/4,3/1,-,-
2008,13/6,6/3,3/2,4/1,-,-
2007,0/1,0/1,-,-,-,-
