Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  US Open (USA),hard,header
28.08. 02:05,Fernandez L.,1,6,4,5,,,4,6,56%,64% (35/55),45% (20/44),57% (8/14),34% (24/70),63% (26/41),32% (6/19),31,28,63% (15/24),7,56% (55/99),45% (50/111),50% (105/210),4,60% (9/15),40% (6/15),50% (15/30),"['2', '0', '4', '2', '6', '2']","['1', '1', '3', '1', '4', '4']",[],[],[],1.54
28.08. 02:05,Potapova A.,2,2,6,7,,,3,6,63%,66% (46/70),37% (15/41),68% (13/19),36% (20/55),55% (24/44),43% (6/14),32,34,55% (6/11),9,55% (61/111),44% (44/99),50% (105/210),3,60% (9/15),40% (6/15),50% (15/30),"['1', '2']","['1', '0', '2', '3', '4', '3', '5', '4']","['6', '5']",[],[],2.51
WTA - SINGLES :  Cleveland (USA),hard,header
21.08. 00:20,Fernandez L.,1,6,6^2,2,,,3,11,56%,59% (39/66),31% (16/52),59% (10/17),42% (21/50),55% (16/29),88% (7/8),5,47% (55/118),47% (37/79),47% (92/197),4,50% (7/14),54% (7/13),52% (14/27),"['2', '0', '4', '0', '5', '1']","['1', '0', '2', '1', '5', '4']","['1', '5']",[],[],1.29
21.08. 00:20,Bogdan A.,2,1,7^7,6,,,4,0,63%,58% (29/50),45% (13/29),13% (1/8),41% (27/66),69% (36/52),41% (7/17),13,53% (42/79),53% (63/118),53% (105/197),6,46% (6/13),50% (7/14),48% (13/27),"['1', '4']","['1', '1', '2', '2', '5', '5']","['1', '0', '3', '0', '5', '0']",[],[],3.74
WTA - SINGLES :  Cincinnati (USA),hard,header
18.08. 00:20,Fernandez L.,1,5,7^7,6^3,,,5,6,69%,59% (57/96),41% (18/44),53% (8/15),37% (29/78),54% (22/41),40% (6/15),7,54% (75/140),43% (51/119),49% (126/259),5,61% (11/18),33% (6/18),47% (17/36),"['3', '3', '4', '4', '5', '5']","['2', '4', '4', '4']","['2', '3']",[],[],2.77
18.08. 00:20,Pegula J.,2,7,6^1,7^7,,,3,7,66%,63% (49/78),46% (19/41),60% (9/15),41% (39/96),59% (26/44),47% (7/15),9,57% (68/119),46% (65/140),51% (133/259),6,67% (12/18),39% (7/18),53% (19/36),"['3', '2', '4', '3', '5', '4', '6', '5']","['1', '0', '3', '0']","['2', '0']",[],[],1.45
17.08. 02:40,Fernandez L.,2,6,6,,,,7,6,63%,83% (29/35),38% (8/21),80% (4/5),41% (17/41),65% (15/23),40% (4/10),10,66% (37/56),50% (33/66),57% (70/122),5,89% (8/9),50% (4/8),71% (12/17),"['2', '0', '4', '0']","['3', '4', '5', '4']",[],[],[],2.22
17.08. 02:40,Shnaider D.,0,1,4,,,,2,3,64%,59% (24/41),35% (8/23),60% (6/10),17% (6/35),62% (13/21),20% (1/5),5,50% (33/66),34% (19/56),43% (52/122),3,50% (4/8),11% (1/9),29% (5/17),[],"['3', '1']",[],[],[],1.68
15.08. 20:40,Fernandez L.,2,3,7^7,6,,,5,13,59%,69% (44/64),36% (16/45),14% (1/7),28% (16/58),65% (42/65),35% (6/17),6,55% (60/109),47% (57/121),51% (117/230),3,60% (9/15),38% (6/16),48% (15/31),"['1', '0', '2', '1']","['3', '1', '5', '3', '6', '6']","['4', '3']",[],[],3.20
15.08. 20:40,Rybakina E.,1,6,6^3,4,,,20,17,47%,72% (42/58),35% (23/65),65% (11/17),31% (20/64),64% (29/45),86% (6/7),6,53% (64/121),45% (49/109),49% (113/230),3,63% (10/16),40% (6/15),52% (16/31),"['1', '1', '2', '2', '5', '3']","['2', '3', '4', '5', '6', '5']",[],[],[],1.36
14.08. 21:50,Fernandez L.,2,3,6,6,,,3,3,68%,66% (35/53),48% (12/25),43% (3/7),34% (18/53),57% (17/30),63% (5/8),5,60% (47/78),42% (35/83),51% (82/161),5,71% (10/14),36% (5/14),54% (15/28),"['2', '1']","['4', '4', '6', '4']","['3', '1', '4', '2']",[],[],1.33
14.08. 21:50,Yuan Y.,1,6,4,3,,,2,1,64%,66% (35/53),43% (13/30),38% (3/8),34% (18/53),52% (13/25),57% (4/7),8,58% (48/83),40% (31/78),49% (79/161),7,64% (9/14),29% (4/14),46% (13/28),"['3', '3', '5', '3']","['1', '0']","['2', '3']",[],[],3.39
