Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,63/77,32/44,28/23,3/10,-,-
2024,20/20,15/16,4/3,1/1,-,-
2023,29/31,15/15,12/12,2/4,-,-
2022,10/17,2/9,8/6,0/2,-,-
2021,4/5,0/1,4/2,0/2,-,-
2020,0/4,0/3,-,0/1,-,-
