Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Compagnucci T.,2,,,,,,5,0,66%,59% (23/39),75% (15/20),75% (3/4),44% (19/43),48% (12/25),57% (4/7),20,30,70% (7/10),64% (38/59),46% (31/68),54% (69/127),7,0,90% (9/10),40% (4/10),65% (13/20),"['2', '1', '4', '1']","['3', '4', '6', '5']",[],[],[],2.56
24.08.,Basile P.,0,,,,,,2,2,63%,56% (24/43),52% (13/25),43% (3/7),41% (16/39),25% (5/20),25% (1/4),16,35,70% (7/10),54% (37/68),36% (21/59),46% (58/127),3,0,60% (6/10),10% (1/10),35% (7/20),[],"['2', '0']",[],[],[],1.47
11.08.,Sanchez Jover C.,2,,,,,,5,3,64%,62% (37/60),53% (18/34),45% (5/11),46% (23/50),55% (22/40),57% (8/14),19,31,82% (9/11),59% (55/94),50% (45/90),54% (100/184),7,0,63% (10/16),53% (8/15),58% (18/31),"['2', '2', '4', '2', '5', '3']","['4', '5']","['1', '1', '2', '2', '4', '4', '6', '4']",[],[],20.5
11.08.,Basile P.,1,,,,,,3,7,56%,54% (27/50),45% (18/40),43% (6/14),38% (23/60),47% (16/34),55% (6/11),35,68,69% (9/13),50% (45/90),41% (39/94),46% (84/184),3,0,47% (7/15),38% (6/16),42% (13/31),"['2', '1', '3', '4']","['3', '1']","['1', '0', '2', '1', '3', '2']",[],[],1.60
15.07.,Vallejo D.,2,,,,,,1,6,46%,80% (20/25),55% (16/29),80% (4/5),26% (10/39),74% (25/34),44% (4/9),20,24,86% (6/7),67% (36/54),48% (35/73),56% (71/127),5,0,89% (8/9),44% (4/9),67% (12/18),"['1', '0', '3', '2', '6', '3']","['3', '1']",[],[],[],1.82
15.07.,Basile P.,0,,,,,,2,1,53%,74% (29/39),26% (9/34),56% (5/9),20% (5/25),45% (13/29),20% (1/5),13,37,63% (5/8),52% (38/73),33% (18/54),44% (56/127),5,0,56% (5/9),11% (1/9),33% (6/18),"['1', '1']",[],[],[],[],1.91
06.07.,Gusic Wan B.,2,,,,,,"['2', '1', '4', '1']",[],"['3', '1', '6', '2']",[],[],-
06.07.,Basile P.,1,,,,,,[],"['2', '0', '5', '1']",[],[],[],-
14.06.,Fatic N.,2,,,,,,7,2,64%,78% (36/46),69% (18/26),100% (7/7),16% (5/32),50% (16/32),33% (1/3),75% (54/72),33% (21/64),55% (75/136),6,0,100% (11/11),10% (1/10),57% (12/21),"['5', '3']",[],[],[],[],1.50
14.06.,Basile P.,0,,,,,,2,4,50%,84% (27/32),50% (16/32),67% (2/3),22% (10/46),31% (8/26),0% (0/7),67% (43/64),25% (18/72),45% (61/136),4,1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],2.48
13.06.,Basile P.,2,,,,,,3,1,57%,78% (25/32),79% (19/24),0% (0/0),30% (13/43),45% (10/22),67% (2/3),79% (44/56),35% (23/65),55% (67/121),8,0,100% (11/11),18% (2/11),59% (13/22),"['4', '3']","['6', '5']",[],[],[],2.46
13.06.,Arnaboldi F.,0,,,,,,4,1,66%,70% (30/43),55% (12/22),33% (1/3),22% (7/32),21% (5/24),0% (0/0),65% (42/65),21% (12/56),45% (54/121),2,0,82% (9/11),0% (0/11),41% (9/22),[],[],[],[],[],1.51
12.06.,Basile P.,2,,,,,,6,1,66%,70% (40/57),60% (18/30),100% (3/3),27% (13/49),56% (14/25),20% (1/5),67% (58/87),36% (27/74),53% (85/161),7,0,100% (11/11),10% (1/10),57% (12/21),"['3', '1']",[],[],[],[],2.27
12.06.,Albot R.,0,,,,,,2,2,66%,73% (36/49),44% (11/25),80% (4/5),30% (17/57),40% (12/30),0% (0/3),64% (47/74),33% (29/87),47% (76/161),3,1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.59
10.06.,Basile P.,2,,,,,,3,3,53%,65% (20/31),64% (18/28),75% (3/4),39% (12/31),72% (13/18),57% (4/7),64% (38/59),51% (25/49),58% (63/108),7,0,89% (8/9),50% (4/8),71% (12/17),"['3', '1', '5', '1']","['1', '0', '5', '2']",[],[],[],2.50
10.06.,Sanchez Jover C.,0,,,,,,1,2,63%,61% (19/31),28% (5/18),43% (3/7),35% (11/31),36% (10/28),25% (1/4),49% (24/49),36% (21/59),42% (45/108),3,0,50% (4/8),11% (1/9),29% (5/17),"['2', '5']",[],[],[],[],1.51
09.06.,Basile P.,2,,,,,,9,5,71%,71% (58/82),47% (16/34),67% (6/9),35% (25/72),49% (20/41),38% (5/13),64% (74/116),40% (45/113),52% (119/229),6,0,82% (14/17),31% (5/16),58% (19/33),"['4', '5', '6', '5']","['2', '1']","['2', '0', '5', '1']",[],[],2.70
