Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,12/11,-,6/4,6/4,0/3,-
2024,9/4,-,5/1,4/1,0/2,-
2023,3/7,-,1/3,2/3,0/1,-
