Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,611/408,54/55,270/170,167/92,106/69,14/22
2024,12/23,3/8,5/9,-,3/4,1/2
2023,20/27,5/6,11/15,0/2,2/3,2/1
2022,37/27,4/7,19/13,7/3,6/3,1/1
2021,27/26,6/6,12/13,1/3,6/3,2/1
2020,29/21,0/3,14/9,15/9,-,-
2019,55/30,3/4,31/17,6/3,14/3,1/3
2018,35/15,-,13/7,10/4,11/4,1/0
2017,15/16,2/5,9/8,-,2/1,2/2
2016,39/22,-,17/10,17/5,5/5,0/2
2015,51/17,-,27/6,10/5,14/4,0/2
2014,17/18,0/2,7/8,8/4,2/4,-
2013,50/20,7/1,16/9,21/5,4/3,2/2
2012,48/20,-,25/6,17/7,4/5,2/2
2011,41/27,0/1,20/11,17/10,4/5,-
2010,43/27,7/3,16/9,9/7,11/6,0/2
2009,32/25,4/2,8/8,18/8,2/5,0/2
2008,44/19,12/5,18/4,7/6,7/4,-
2007,12/13,1/2,1/2,4/5,6/4,-
2006,3/10,-,1/3,0/5,2/2,-
2005,1/5,-,0/3,0/1,1/1,-
