Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,30/15,-,14/6,-,-,16/9
2024,14/6,-,14/6,-,-,-
2023,13/7,-,-,-,-,13/7
2022,3/2,-,-,-,-,3/2
