Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,674/489,213/130,420/317,10/14,4/7,27/21
2024,5/12,2/5,3/6,0/1,-,-
2023,26/31,4/7,20/23,1/1,-,1/0
2022,42/27,5/1,35/26,-,-,2/0
2021,15/6,4/2,11/2,-,-,0/2
2020,9/0,8/0,-,-,-,1/0
2019,3/5,-,3/5,-,-,-
2018,34/28,11/5,21/21,-,-,2/2
2017,51/34,21/11,29/20,-,-,1/3
2016,46/28,27/12,15/11,2/3,-,2/2
2015,32/21,12/4,18/14,1/1,-,1/2
2014,19/14,4/1,15/11,-,-,0/2
2013,40/26,7/3,30/19,2/3,-,1/1
2012,56/29,22/10,31/14,3/2,-,0/3
2011,35/29,11/12,22/15,1/1,-,1/1
2010,32/28,2/4,21/21,0/1,3/2,6/0
2009,47/27,19/8,25/15,0/1,1/2,2/1
2008,43/29,4/3,37/26,-,-,2/0
2007,42/29,6/5,34/23,-,-,2/1
2006,22/29,13/18,7/11,-,-,2/0
2005,35/30,17/13,17/13,-,0/3,1/1
2004,26/12,12/4,14/8,-,-,-
2003,8/10,2/2,6/8,-,-,-
2002,6/5,-,6/5,-,-,-
