Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
23.05.2024,Damas M.,0,,,,,,"['1', '1']","['1', '1', '4', '4', '5', '5']",[],[],[],2.53
22.05.2024,Kuhn N.,2,,,,,,"['2', '1']","['2', '1', '3', '4', '5', '4']",[],[],[],1.05
22.05.2024,Avcibasi T.,0,,,,,,[],"['2', '2', '4', '2']",[],[],[],8.55
15.05.2024,Damas M.,1,,,,,,"['3', '1', '5', '1']","['1', '0']",[],[],[],3.08
15.05.2024,Kuhn N.,0,,,,,,[],[],[],[],[],1.34
12.05.2024,Klizan M.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '2', '4', '2']",[],[],2.10
12.05.2024,Kuhn N.,1,,,,,,"['2', '0']",[],"['2', '1']",[],[],1.68
11.05.2024,Kuhn N.,2,,,,,,"['3', '2']","['5', '4']",[],[],[],1.37
11.05.2024,Martin Tiffon P.,0,,,,,,[],[],[],[],[],2.92
10.05.2024,Kuhn N.,2,,,,,,"['1', '2', '4', '3', '5', '4']","['3', '4', '5', '4']","['2', '0', '4', '0']",[],[],1.19
10.05.2024,Domingues J.,1,,,,,,"['2', '0', '4', '4']","['3', '1', '5', '5']",[],[],[],4.41
09.05.2024,Kuhn N.,2,,,,,,"['3', '2']","['4', '5', '6', '5']",[],[],[],1.70
09.05.2024,Royer V.,0,,,,,,[],"['4', '2']",[],[],[],2.05
08.05.2024,Kuhn N.,2,,,,,,"['2', '2', '6', '4']","['2', '0', '5', '1']",[],[],[],1.07
08.05.2024,Izquierdo Luque R.,0,,,,,,"['1', '0']",[],[],[],[],7.17
07.04.2024,Kuhn N.,2,,,,,,"['3', '4']",[],"['1', '1', '3', '1']",[],[],1.38
07.04.2024,Matusevich A.,1,,,,,,"['2', '0', '7', '5']",[],"['1', '0']",[],[],2.88
06.04.2024,Kuhn N.,2,,,,,,"['1', '1', '3', '3', '7', '5']","['3', '1', '5', '1']",[],[],[],1.23
06.04.2024,Privara P. B.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],3.86
05.04.2024,Kuhn N.,2,,,,,,"['3', '4', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.26
05.04.2024,Manzanera Pertusa A.,0,,,,,,"['4', '2']","['1', '5']",[],[],[],3.59
04.04.2024,Kuhn N.,2,,,,,,"['1', '0', '6', '3']","['2', '0', '3', '1', '4', '2', '7', '5']",[],[],[],1.16
04.04.2024,Bax F.,0,,,,,,[],"['1', '2', '2', '3', '4', '5']",[],[],[],4.71
03.04.2024,Kuhn N.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '5', '2']",[],[],[],1.09
03.04.2024,Zusman R.,0,,,,,,[],[],[],[],[],6.52
19.03.2024,Bu Y.,2,,,,,,3,2,64%,69% (37/54),52% (16/31),63% (5/8),29% (14/49),47% (14/30),57% (4/7),62% (53/85),35% (28/79),49% (81/164),6,0,79% (11/14),29% (4/14),54% (15/28),"['1', '0', '3', '0']",[],"['2', '0', '5', '1']",[],[],3.40
19.03.2024,Kuhn N.,1,,,,,,4,2,62%,71% (35/49),53% (16/30),43% (3/7),31% (17/54),48% (15/31),38% (3/8),65% (51/79),38% (32/85),51% (83/164),4,2,71% (10/14),21% (3/14),46% (13/28),"['1', '3']","['3', '1']","['2', '5']",[],[],1.30
18.03.2024,Kuhn N.,2,,,,,,3,1,52%,79% (23/29),63% (17/27),100% (2/2),33% (12/36),57% (8/14),50% (3/6),71% (40/56),40% (20/50),57% (60/106),9,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '4', '1']","['5', '4']",[],[],[],1.53
18.03.2024,Cretu C.,0,,,,,,1,0,72%,67% (24/36),43% (6/14),50% (3/6),28% (8/29),37% (10/27),0% (0/2),60% (30/50),29% (16/56),43% (46/106),1,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.43
