Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/74,66/36,49/28,8/4,-,12/6
2024,43/20,32/10,10/9,0/1,-,1/0
2023,32/22,7/8,16/10,2/1,-,7/3
2022,27/13,8/7,15/5,-,-,4/1
2021,9/5,3/3,-,6/2,-,-
2020,0/2,-,-,-,-,0/2
2019,2/1,-,2/1,-,-,-
2018,11/6,7/4,4/2,-,-,-
2017,5/3,5/3,-,-,-,-
2016,4/1,4/1,-,-,-,-
2014,2/1,-,2/1,-,-,-
