Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,198/140,113/93,85/47,-,-,-
2024,35/19,32/18,3/1,-,-,-
2023,30/28,26/21,4/7,-,-,-
2022,22/15,17/14,5/1,-,-,-
2021,32/33,11/13,21/20,-,-,-
2020,45/15,0/1,45/14,-,-,-
2019,21/18,14/14,7/4,-,-,-
2018,13/10,13/10,-,-,-,-
2016,0/1,0/1,-,-,-,-
2015,0/1,0/1,-,-,-,-
