Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,59/95,36/49,8/14,-,-,15/32
2024,20/23,14/15,6/8,-,-,-
2023,14/23,8/8,2/4,-,-,4/11
2022,15/24,4/3,-,-,-,11/21
2021,9/20,9/20,-,-,-,-
2019,0/1,0/1,-,-,-,-
2018,1/2,1/2,-,-,-,-
2017,0/2,-,0/2,-,-,-
