Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,190/170,127/121,53/46,-,-,10/3
2024,9/6,8/5,1/1,-,-,-
2023,18/16,13/15,2/1,-,-,3/0
2022,27/25,11/12,9/10,-,-,7/3
2021,4/6,1/2,3/4,-,-,-
2020,8/4,-,8/4,-,-,-
2019,15/19,3/6,12/13,-,-,-
2018,32/26,30/23,2/3,-,-,-
2017,27/26,27/26,-,-,-,-
2016,32/27,19/19,13/8,-,-,-
2015,13/9,12/8,1/1,-,-,-
2013,5/5,3/4,2/1,-,-,-
2012,0/1,0/1,-,-,-,-
