Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
22.07.,Andrade da Silva L.,2,,,,,,"['2', '0', '6', '4']","['3', '3']","['2', '1', '5', '2']",[],[],1.45
22.07.,Yamacita F.,1,,,,,,"['4', '5']","['2', '1']",[],[],[],2.59
13.11.2024,Nunez D. A.,2,,,,,,"['2', '1']","['1', '2', '3', '2', '4', '3', '6', '5']",[],[],[],1.44
13.11.2024,Yamacita F.,0,,,,,,[],"['2', '0', '3', '3', '4', '4']",[],[],[],2.62
06.11.2024,Ribeiro E.,2,,,,,,"['2', '3', '6', '5']","['2', '0']",[],[],[],1.23
06.11.2024,Yamacita F.,0,,,,,,"['2', '0', '6', '6']",[],[],[],[],3.81
19.09.2024,Egea F. E.,2,,,,,,"['4', '5']","['1', '0', '3', '0', '5', '0', '6', '1']","['2', '0', '5', '1']",[],[],1.30
19.09.2024,Yamacita F.,1,,,,,,"['3', '1', '7', '5']","['1', '5']",[],[],[],3.34
18.09.2024,Yamacita F.,2,,,,,,"['1', '0']","['3', '2', '6', '3']",[],[],[],1.83
18.09.2024,Escurra Isnardi H. J.,0,,,,,,[],[],[],[],[],1.83
22.08.2024,Pereira J.,2,,,,,,"['3', '3']","['2', '0', '4', '0']","['2', '1', '5', '2']",[],[],1.22
22.08.2024,Yamacita F.,1,,,,,,"['2', '1', '5', '4']","['1', '4']","['3', '5']",[],[],3.96
20.08.2024,Yamacita F.,2,,,,,,"['7', '5']",[],"['2', '0', '4', '0', '6', '0']",[],[],1.34
20.08.2024,Roveri Sidney G.,1,,,,,,[],"['1', '0']",[],[],[],3.08
14.08.2024,Monzon I.,2,,,,,,"['1', '1', '4', '4', '6', '4']","['1', '3', '3', '3']","['2', '0', '6', '2']",[],[],1.57
14.08.2024,Yamacita F.,1,,,,,,"['1', '0', '3', '2']","['1', '0', '3', '0', '4', '3']",[],[],[],2.30
